Orignal Words,NorvigSpellCheck,Get_Close_Match
อดเจาะ,อัดเจาะ,อัดเจาะ
อดตัดดดูด,อดตัดดดูด,อัดดิน
อตัดดดูด,อตัดดดูด,อัดดิน
อถอน,ถอน,ถอน
อนุญาติการ,อนุญาตการ,อนุญาตการ
อปกณ์,อุปกรณ์,อุปกรณ์
อปกรณ์,อุปกรณ์,อุปกรณ์
อปกรณื,อุปกรณ์,อุปกรณ์
อัดิน,อัดดิน,อัดดิน
อางอิง,อางอิง,เจาะคอลิ่ง
อาตาร,อาการ,อาคาร
อุกรณ์,อุปกรณ์,อุปกรณ์
อุปกณณ์,อุปกรณ์,อุปกรณ์
อุปกนณ์,อุปกรณ์,อุปกรณ์
อุปกร์,อุปกรณ์,อุปกรณ์
อุปกรณื,อุปกรณ์,อุปกรณ์
อุปกรณฺ์,อุปกรณ์,อุปกรณ์
อุปรกรณ์,อุปกรณ์,อุปกรณ์
อุปรณ์,อุปกรณ์,อุปกรณ์
อุุปกรณ์,อุปกรณ์,อุปกรณ์
โอย,รอย,โดย
เฮียบ,เสียบ,เฮี๊ยบ
ใา,ยา,ใบ
