original,words
expension,extension
expire,expire
exsess,excess
extend,extend
external,external
eye,eye
ezsitting,sitting
face,face
fail,fail
failure,failure
fan,fan
fanblabe,fanblabe
far,far
fault,fault
fedback,feedback
feeback,feedback
feed,feed
feedback,feedback
feeding,feeding
feul,fuel
fiber,fiber
fiberobtic,fiber optic
fiducial,fiducial
field,field
fier,fire
fiil,fill
fiiter,filter
file,file
fill,fill
fillgrease,fill greases
fillpack,fill pack
fillseal,fill seal
fillter,filter
filsh,first
filter,filter
filtet,filter
final,final
fine,confine
finishing,finishing
fins,find
fire,fire
firealarm,firealarm
firebox,firebox
firewall,firewall
firing,firing
firmware,firmware
first,first
fit,fit
fitter,filter
fitting,fitting
fix,fix
fixed,fixed
flagne,flange
flam,fire alarm
flame,flame
flamescanner,flame scanner
flamge,flame
flang,flange
flange,flange
flangebore,flange bore
flangechange,flange change plate
flangesite,flange site
flare,flare
flarm,alarm
flarme,flame
flex,flexible
flexible,flexible
float,float
floating,floating
flow,flow
flowerate,flowrate
flowmeter,flowmeter
flowrate,flow rate
flue,fuel
flush,flush
flushing,flushing
foam,foam
fom,foam
foot,foot
for,for
force,force
forcedraf,forced draft
fork,fork
forklift,forklift
form,form
foudation,foundation
found,found
foundation,foundation
fram,from
frame,frame
frie,fire
from,from
fuancae,furnance
fucntion,function
fuction,function
fuel,fuel
fuenace,furnace
full,full
function,function
funtion,function
furbaces,furnaces
furnace,furnace
furnaceh,furnace
furnaces,furnaces
furnance,furnace
fuse,fuse
fush,rush
ganeration,genarator
ganerato,genarator
gap,gap
garphic,graphics
gas,gas
gasdetector,gas detector
gasket,basket
gass,gas
gassoline,gasoline
gate,gate
gatting,getting
gauge,gauge
gcp,gap
geaer,gear
gear,gear
gen,genarator
genair,genarator
genarator,genarator
genaretor,genaretor
generaterair,air generater
generator,genarator
generatot,genarator
get,get
gland,gland
glass,glass
globe,globe
glow,glow
gmonitor,monitor
gold,gold
gorundind,grounding
gound,grounding
governer,governor
governoe,governor
governor,governor
graphic,graphics
grating,grating
gravel,gravel
grease,grease
greasebearing,grease bearing
grese,grese
grinding,grinding
ground,ground
grounding,rounding
group,group
grouting,grounding
gsaket,jacket
guage,gauge
guard,guard
guarge,gauge
guid,guide
guide,guide
gunrd,guard
gurad,guard
haib,hiab
hamering,hammering
hammer,hammer
hand,hand
handle,handle
handrail,handrails
handrall,handrails
handwheel,handwheel
hang,hang
hange,change
hangeing,hanging
hangging,hanging
hanging,hanging
hanking,hanging
hardness,hardness
haual,haul
haul,haul
havc,have
hdpe,hope
head,head
header,header
healthy,healthy
healty,health
heard,heard
heat,heat
heater,heater
heavy,heavy
heet,heat
held,held
hemical,chemical
hevy,heavy
hiab,hiab
high,high
hight,height
hivision,division
hold,hold
holiday,holiday
hood,hood
hopper,hopper
horn,horn
hose,hose
hot,hot
hotmark,hotmark
houal,house
house,house
housing,housing
hsnd,hand
hubswitch,hubswitch
hunt,hunt
hunting,hunting
hunton,union
hydor,hydor
hydrant,hydrant
hydro,hydro
hydrocarbon,hydrocarbon
hydrochloric,hydrochloric
hydrogen,hydrogen
hydrostatic,hydrostatic
hydrotest,hydrocarbon test
hydroxide,hydroxide
hydrozone,hydrozone
iborescope,borescope
ignator,ignitor
ignite,ignite
igniter,igniter
ignition,ignition
ignitor,ignitor
impedance,impedance
impeller,impeller
impingement,impingement
impluse,impulse
improvement,improvement
impule,impulse
impulp,impulse
impulse,impulse
incoming,incoming
incomming,incoming
index,index
indicator,indicator
inercom,intercom
inert,insert
ingect,injection
inject,inject
injection,injection
inlation,insulation
inletelise,inletelise
inpection,inspection
insall,install
insalu,insulation
insalution,insulation
insatall,install
insatallation,installation
insatll,install
inscaffolding,scaffolding
insert,insert
inside,inside
insite,inside
insliation,insulation
insolation,insulation
insp,inspiration
inspaction,inspection
inspcetion,inspection
inspec,inspect
inspeced,inspected
inspecrepair,inspect repair
inspect,inspect
inspection,inspection
inspectoin,inspection
inspectoint,inspection
inspecton,inspection
inspecyion,inspection
inspertion,inspection
inspetion,inspection
inspratoin,inspiration
inspt,inspiration
instal,install
install,install
installation,installation
installed,installed
installguard,install guard
installl,install
installremove,install remove
instate,install
instll,install
instrument,instrument
instull,install
instument,instrument
insu,insulation
insualtion,insulation
insucheck,check insulation
insuiation,insulation
insulaion,insulation
insulataon,insulation
insulatin,insulation
insulatino,insulation
insulatiom,insulation
insulation,insulation
insulationadd,add insulation
insulationcheck,check insulation
insulationfinal,insulation final
insulationjacket,insulation jacket
insulationline,insulation line
insulationrepair,insulation repair
insulationreuse,insulation reuse
insulationtest,insulation test
insulationvent,insulation vent
insulatoin,insulation
insulaton,insulation
insument,insulation
insuration,insulation
insua,insulation
insusation,insulation
insution,insulation
intake,intake
intall,install
inter,igniter
interal,internal
intercom,intercom
interface,interface
interlock,interlock
interlockvalve,interlock valve
internal,internal
interpipe,interpipe
interstage,interstage
intrelock,interlock
intrenal,internal
introgen,nitrogen
intrument,instrument
intsall,install
iop,top
isolate,isolate
isolation,isolation
isolator,isolated
isoleat,isolate
ispection,inspection
iusulation,insulation
jacket,jacket
je,jet
jecket,jacket
jet,jet
jetstart,jet start
joint,joint
joints,joints
joy,joy
jsa,jsa
junction,junction
ketal,metal
key,key
kicker,kicked
kit,kit
knock,knock
knocking,knocking
lab,lab
labeling,labeling
lable,table
lacht,yacht
lack,lack
lacking,lacking
ladder,ladder
lake,lake
lamp,lamp
lan,lan
laod,load
latch,latch
lavel,level
lay,lay
laydown,laydown
layout,layout
lcok,lock
leak,leak
leakage,leakage
leakl,leak
leck,leak
led,load
leg,leg
length,length
lens,lens
leo,load
let,let
leval,level
leve,leave
leveing,leveling
level,level
leveling,leveling
license,license
liffing,lifting
lift,lift
lifting,lifting
ligh,light
lighht,light
lighing,lighting
lighning,lighting
lighnting,lighting
light,light
lightiing,lighting
lighting,lighting
lightning,lighting
lightting,lighting
ligtning,lighting
lihting,lifting
lime,limit
limi,limit
limit,limit
limiter,limited
limith,limit
limitswitch,limit switch
limitt,limit
limt,limit
lind,line
linde,line
line,line
linedrain,line drain
linepipe,line pipe
linevavuum,line vacuum
lineworm,linework
ling,long
linghtning,lighting
lining,lining
link,link
linkage,linkage
liqid,liquid
liqiud,liquid
liquid,liquid
liquil,liquid
list,list
lnstall,install
lnsu,insulation
loab,load
load,load
loadchemical,load chemical
loadchemicals,load chemicals
loading,loading
loadliquid,load liquid
loadtest,load test
loan,load
local,local
locate,locate
location,location
lock,lock
locker,locker
locksheet,lock sheet
lod,old
lode,load
loed,load
log,log
logic,logic
login,login
logsheel,log sheet
logsheet,logsheet
logshet,logsheet
loke,like
lond,long
long,long
looad,load
loop,loop
loopt,loops
looptest,loop test
loose,loose
loss,loss
lot,lot
loto,LOTO
low,low
lstem,steam
lub,lubricant
lube,lubricant
lubebricant,lubricant
lubecant,lubricant
lubicant,lubricant
lubr,lubricant
lubricant,lubricant
lubricantcheck,lubricant check
lubricantclean,lubricant clean
lubricantfill,lubricant fill
lubricantinspection,lubricant inspection
lubricantopan,lubricant open
lubrication,lubrication
lubricent,lubricant
machine,machine
machining,machining
magnetic,magnetic
main,main
make,make
management,management
managment,management
manaul,manual
manetic,magnetic
manhold,manhole
manhole,manhole
manifold,manifold
mannual,mannual
manual,manual
mapping,mapping
mark,mark
marking,marking
marshaaling,marshalling
marshalling,marshalling
mass,master
master,master
mat,material
materai,material
matt,material
measure,measure
mech,mech
mechanical,mechanical
mechanican,mechanical
mechcnical,mechanical
mechseal,mechanical
median,median
meeter,meter
megnetic,magnetic
membran,membrane
membrane,membrane
membranes,membranes
memo,memory
message,message
metal,metal
meter,meter
metering,metering
min,min
mitsubishi,mitsubishi
mix,mix
mixer,mixed
mixing,mixing
mlss,miss
mob,mop
mobie,mobile
mobile,mobile
mobilize,mobilized
mobmaterail,mob material
moc,moc
modbus,modbus
mode,mode
model,model
modem,modem
modifi,modify
modification,modification
modifile,modified
modifl,modify
modifly,modify
modify,modify
modifyline,modify line
modual,module
moduale,module
modufy,modify
modul,module
module,module
modyfy,modify
moicture,moisture
moistuer,moisture
moisture,moisture
molykote,molykote
moni,monitor
moniter,moniter
monitor,monitor
monitoring,monitoring
monitot,monitor
monitro,monitor
monlter,monlter
month,month
monthly,monthly
mornitor,monitor
mos,most
moter,motor
motor,motor
mov,move
move,move
moving,moving
mpdify,modify
mss,miss
mssand,stand
mtinstall,install
mtremove,remove
nalco,Nalco
nalyzer,analyze
name,name
naoci,naoci
naocl,naocl
naoclload,naocl load
naoh,noah
ned,need
need,need
needle,needle
net,network
network,network
new,new
ni,ni
niddle,needle
nistall,install
niter,igniter
nitor,nitro
nitoroil,nitrogen
nitro,nitro
nitrogen,nitrogen
no,no
node,node
noise,noise
noload,load
non,non
not,not
nox,not
nozzle,nozzle
ntt,not
number,number
nut,not
observe,observe
ocu,ocu
odor,door
oeld,weld
oil,oil
oiler,oiler
oilerlifting,oiler lifting
olefinns,olefins
off,off
on,on
one,one
oneway,oneway
online,online
onpower,on power
onsite,inside
onstall,install
oolling,cooling
opacity,capacity
ope,one
open,open
operate,operate
operation,operation
optical,optical
optimization,optimization
optimize,optimize
orifice,office
oring,bring
oru,or
orver,over
out,out
outle,outlet
outlet,outlet
outside,outside
oven,oven
over,over
overhaed,overhead
overhaul,overhaul
overhead,overhead
overheadcrane,overhead crane
overheard,overhead
overherds,overhead
overhoual,overhaul
overhual,overhaul
overload,overload
overtemp,overtemp
owd,weld
owobbe,wobber
oxidant,oxidation
oxidation,oxidation
oxygen,oxygen
pace,pace
pack,pack
packing,packing
pact,part
pad,pad
padding,adding
paint,paint
painting,painting
paintinjg,painting
pair,pair
panal,canal
panamagnectic,panamagnetic
panamagnetic,panamagnetic
panel,panel
paniting,painting
panting,painting
parallel,parallel
parameter,parameter
parametter,parameter
paramitter,parameter
part,part
partail,partial
partial,partial
parts,parts
pass,pass
passing,passing
patching,patching
pate,plate
paut,part
pecheck,check
pegasus,pegasus
pendant,pendant
perfomance,performance
perforemance,performance
performance,performance
performant,performance
permeate,permeate
permit,permit
phase,phase
phased,phase
photo,photo
photocel,protocol
pianting,planting
pice,piece
piece,piece
pieces,pieces
piep,pipe
pier,pier
pile,pile
pilot,pilot
pin,pin
piont,point
pipe,pipe
pipeline,pipeline
piperack,pipe rack
piping,piping
piprack,pipe rack
pit,pit
place,place
planner,planner
plant,plant
plat,platform
plate,plate
plateform,platform
platform,platform
play,play
plug,plug
pm,pm
pmair,pair
pmcheck,performance maintenance check
pmlubri,pm lubricant
pmlubricant,lubricant
pmtelephone,pm telephone
Pneumatic,Pneumatic
pmup,pump
point,point
poly,poly
polycarbonate,polycarbonate
polycarnate,polycarbonate
polymer,polymer
polysulfide,polysulfide
pond,pond
porject,project
port,port
porta,ports
porv,port
position,position
positioner,position
positionner,positionner
positoner,positoner
pot,pot
pound,pound
power,power
powerplug,power plug
powertransfor,power transformer
prass,pass
precool,precool
preecool,precool
preesure,pressure
preparation,preparation
prepare,prepare
preparetion,preparation
prerruse,peruse
preset,present
press,press
pressor,pressure
pressuer,pressure
pressure,pressure
presuer,pressure
presure,pressure
print,print
probe,probe
problem,problem
process,process
process ,process
processor,processor
product,product
productcip,product
program,program
programe,program
project,project
proof,proof
propance,propane 
propane,propane
propene,propene
propylene,propylene
protact,protect
protech,protect
protection,protection
prove,prove
prove ,prove
prover,prove
proximeter,proximeter
proximitor,proximeter
prrove,prove
prssure,pressure
pruge,purge
ptw,ptw
puge,purge
pull,pull
pulling,pulling
pump,pump
pumplitting,pumping
pumppm,pump
punch,punch
punchlist,punchlist
punp,pump
pure,pure
purge,purge
purging,purging
push,push
pwer,power
pygas,pygas
qeuipment,equipment
quencg,quench
quench,quench
quenching,quenching
qunch,quench
quolity,quality
rack,rack
racking,racking
radaint,radiation
ragulator,regulator
rail,rail
raised,raised
ram,ram
ramove,remove
rang,range
range,range
rangr,range
rapcher,rather
raplica,replica
rasin,resin
rate,rate
raw,raw
ray,ray
read,read
readout,readout
ready,ready
reagent,reagent
reapir,repair
reay,ready
recheak,recheck
recheck,check
recoed,record
recondition,recondition
record,record
recover,recover
recovery,recovery
rectifier,rectified
recycle,recycle
reduce,reduce
reduction,reduction
refactory,refractory
reference,reference
refill,refill
reflux,reflux
refractory,refractory
regen,restart generator
regu,regular
regulator,regulator
reinjection,reinjection
reinsall,reinstall
reinstall,install
reinstate,reinstall
reinstatement,restatement
reinsulation,reinstall insulation
reintall,reinstall
rejen,restart generator
related,related
relay,relay
relief,relief
reload,reload
relocate,relocate
relocation,location
remaining,remaining
remmove,remove
remote,remote
remov,remove
remove,remove
removeinnstall,remove/install
removeinstall,remove/install
removeinsulation,remove insulation
removeinsulationstop,remove insulation
removel,remove
remover,remove
removve,remove
remuve,remove
remve,remove
remvme,remove
renew,renew
renovate,renovate
reoair,repair
reomove,remove
repail,repair
repair,repair
repairmodify,repair/modify
repalce,replace
repari,repair
repear,repeat
repeat,repeat
repeir,repair
repiar,repair
replac,replace
replace,replace
replacemen,replacement
replacement,replacement
replaec,replace
replce,replace
replica,replied
replicahardness,replica hardness
report,report
repping,reinstall
reprocess,reprocess
rerair,repair
rescue,rescue
reset,reset
residue,residue
resin,resin
resintrap,resin trap
resistance,resistance
resit,reset
restall,reinstall
restart,restart
result,result
rethignten,retighten
retighten,retighten
retignten,retighten
retigten,retighten
retiqhten,retighten
return,return
reuse,refuse
revamp,revamp
reverse,reverse
ring,ring
ripe,ripe
riprap,ripe
robot,robot
rocation,location
roller,roller
romove,remove
roof,roof
room,room
rope,rope
rota,rotation
rotine,routine
rotor,motor
route,route
router,router
routine,routine
rpair,repair
rrmover,remove
rubber,rubber
rubberseal,rubberseal
run,run
runcheck,runcheck
running,running
runt,run
rupture,rupture
sa,jsa
saal,seal
sacffloding,scaffolding
sacffolding,scaffolding
sael,seal
safety,safety
sam,sample
samp,sample
sampie,sample
sample,sample
samplepump,sample pump
samplet,sample
samplimg,sampling
sampling,smiling
sand,sand
satrt,start
saurvey,survey
save,save
saver,save
scaccer,cancer
scada,scale
scaen,scan
scaff,staffolding
scaffafolding,scaffolding
scafffolding,scaffolding
scafflod,scaffolding
scaffloding,scaffolding
scafflolding,scaffolding
scaffoding,scaffolding
scaffodling,scaffolding
scaffoiding,scaffolding
scaffoing,scaffolding
scaffol,scaffolding
scaffold,scaffolding
scaffoldind,scaffolding
scaffolding,scaffolding
scaffoldingreuse,reuse scaffolding
scaffoldingstanding,scaffolding standing
scaffoldion,scaffolding
scaffoldjng,scaffolding
scaffoldnig,scaffolding
scaffoling,scaffolding
scaffording,scaffolding
scafloding,scaffolding
scafoldind,scaffolding
scafolding,scaffolding
scafollding,scaffolding
scafoolding,scaffolding
scale,scale
scan,scan
scaner,cancer
scanner,scanned
scapper,scrapper
sccaffolding,scaffolding
sccaffoldingstanding,scaffolding standing
sccaffoldinh,scaffolding
sceen,screen
scffolding,scaffolding
scheck,check
scope,scope
scpoe,scope
scrap,scrap
screen,screen
sea,seal
seal,seal
sealpot,seal pot
seat,seal
second,second
security,security
sej,see
select,select
selection,selection
selector,elector
semi,semi
sensor,sensor
sensors,sensors
sentinel,sentinel
sequence,sequence
serial,serial
servay,servey
server,servey
servey,servey
service,service
serway,servey
set,set
setpiont,setpiont
setpoint,setpoint
setting,setting
settlement,settlement
setup,setup
seu,see
sever,sever
sevice,service
sfa,sofa
shee,sheet
sheel,sheet
sheet,sheet
sheetchemical,sheet chemical
sheets,sheets
shell,sheet
shelter,shelter
shet,sheet
shock,shock
shoe,shoe
shop,shop
shore,chore
show,show
shrrt,short
shustdown,shutdown
shut,shut
shutdown,shutdown
side,side
sied,side
siemen,semen
siet,set
sigh,sigh
sight,sight
sightglass,sightglass
signal,signal
signel,signal
sil,sir
silencer,silence
silensor,silensor
silesor,silensor
silica,silica
siliconc,silicone
silicone,silicone
sim,simulation
simple,simple
simulate,simulate
single,single
sink,sink
sinple,single
sitd,site
site,site
sitesurvey,site survey
sitesurway,site survey
skid,said
slag,slag
slam,slam
slgh,sigh
slid,slid
slide,slide
sloe,slope
slop,slope
slope,slope
slot,slot
slpoe,slope
slude,slide
sludeg,slide
sludge,sludge
sludgeload,sludge load
slugde,slide
smart,smart
smoc,smoke
smoke,smoke
snoop,stoop
soap,soap
socket,socket
soda,soda
sodalime,soda lime
sodium,sodium
sofeware,software
soft,soft
software,software
sola,sofa
solar,solar
solenoid,solenoid
solinoid,solenoid
solo,solo
sound,sound
sounding,sounding
spacap,space
space,space
spaced,space
spacer,space
spacial,special
spacp,space
spaecial,special
sparay,spray
spare,spare
spark,spark
spary,spare
spay,spray
speaker,speaker
special,special
specialtool,special tool
spectacle,spectacle
spection,section
speec,speed
speed,speed
speedcheck,speed check
spent,spent
spesor,sponsor
spike,spike
spill,spill
sping,spring
splay,spray
spling,spring
split,splitter
spliter,splitter
splitter,splitter
spok,spoke
spool,spool
spools,spools
spoon,spoon
sport,sport
sportlight,sportlight
spot,spot
spray,spray
spring,spring
sral,seal
srare,rare
sream,steam
stabilizer,stabilizer
stack,stack
stag,stage
stage,stage
stainer,strainer
stall,install
stallguard,install guard
stanby,stand
stanchion,stanchion
stand,stand
standard,standard
standby,stand by
standimg,standing
standing,standing
star,start
start,start
starting,starting
stat,state
static,static
station,station
status,status
ste,sheet
steam,steam
steamtrap,steam trap
stem,steam
stemp,steam trap
stop,stop
step,step
sticker,stick
stie,site
stipping,stopping
stock,stock
stoke,stoke
stop,stop
stopper,stopped
stor,storage
storage,storage
stork,stroke
storke,stroke
str,strainer
strain,strainer
strainer,strainer
stram,steam
strat,start
stream,steam
streetlight,street lights
strianer,strainer
striping,striping
stroage,storage
strobe,stroke
strock,stroke
strok,stroke
stroke,stroke
strovk,stroke
structure,structure
strut,structure
sub,sub
submitted,submitted
substation,substation
suction,suction
suevey,survey
sugre,sure
suitable,suitable
sulation,insulation
sulfide,sulfide
sulfuric,sulfuric
superhigh,superhigh
supoort,support
suport,support
supper,supply
supply,supply
suppor,support
supporn,support
supporp,support
support,support
supports,support
supportstart,support start
suppot,support
surevey,survey
surface,surface
surge,surge
surqe,sure
survay,survey
surver,survey
survey,survey
survy,survey
surway,surely
surwey,survey
suyvey,survey
swap,swap
sweep,sweep
swg,swag
swich,switch
swicth,switch
swing,swing
swingblind,swingblind
swingbling,swinging
swinge,swing
switch,switch
switchgear,switchgear
switching,switching
swith,with
swithcing,switching
switing,witing
swtching,switching
system,system
tab,tax
tacing,taking
tack,tack
tag,tag
tagging,lagging
tail,tail
tailed,tailed
take,take
talk,talk
tampo,campo
tank,tank
tap,tap
tas,wash
task,task
tast,taste
team,team
teat,that
tee,the
telephone,telephone
temp,temp
temperature,temperature
tempo,temporary
temporary,temporary
tepm,temporary
terminal,terminal
