Details,Predict Type of finding,Type of finding
ทำงานคนเดียว ไม่มี Buddy  คอยจับบันไดให้,Unsafe Action,Unsafe Action
ไม่สวมใส่ถุงมือขณะหยิบจับชิ้นงาน,Unsafe Action,Unsafe Action
กระเช้าที่นำมามาใช้งานไม่มีขอบยางกันกระแทก,,Unsafe Condition
พบชายถุงไปเกี่ยวติดกับท่อนั่งร้านที่ทำเป็นคอกล้อมไว้เพื่อป้องกันการฟุ้งกระจาย,Unsafe Condition,Unsafe Condition
นำ Insulation มาวางไว้กับพื้นแต่ไม่มีการจัดเก็บ,Unsafe Action,Unsafe Condition
 นำบันไดนั่งร้านมาพาดต่อใช้งาน,Unsafe Action,Unsafe Condition
ไม้พาเลทที่วางถุง Perlite ชำรุดเสียหาย,Unsafe Condition,Unsafe Condition
ขยะกองไว้ไม่ได้จัดเก็บจำนวนมาก,Unsafe Condition,Unsafe Condition
ยืนปฏิบัติงานนอก Hard Barricade เสี่ยงต่อการตกจากที่สูง,Unsafe Action,Unsafe Action
สวมใส่หน้ากาป้องกันฝุ่นไม่เหมาะสมกับลักษณะหน้างาน,Unsafe Action,Unsafe Action
พนักงานเข้าไปในพื้นที่ Barricade งานยกที่แขวนชิ้นงานไว้ด้านบน,Unsafe Action,Unsafe Action
บันไดนั่งร้านไม่มีจุดยึดขาด้านล่าง,,Unsafe Condition
ขณะที่ผู้ปฏิบัติงาน แกะถุง Bigbag มีฝุ่นฟุ้งกระจาย จำนวนมาก,Unsafe Condition,Unsafe Condition
ใช้หินเจียรไม่มี Handle,Unsafe Action,Unsafe Action
ล้อมผ้ากันไฟไม่มิดชิด,,Unsafe Condition
พบงาน Load N2 ข้อต่อสาย Hose ไม่มีสลักล็อค,Unsafe Condition,Unsafe Condition
มีการเหยียบท่อหุ้ม Insulation ขณะปฏิบัติงานรื้อนั่งร้าน,Unsafe Action,Unsafe Action
พบมีงานตัด เจียร ล้อมผ้ากันไฟไม่ครบทุกด้าน และไม่มีถังดับเพลิง ,Unsafe Action,Unsafe Condition
"งานหุ้มInsulation
1.จุดผสมน้ำยาไม่มีถาดรอง
2.ไม่มีรายละเอียดของน้ำยาหรือSDSระบุในการนำมาใช้งาน",Unsafe Condition,Unsafe Condition
ใช้งานตู้จ่ายไฟโดยไม่ได้ตรวจสอบ Daily Checklist,Unsafe Action,Unsafe Action
นั่งร้านรอรื้อถอน ไม่ได้แขวน Tag แดง,Unsafe Condition,Unsafe Condition
อุปกรณ์ระหว่างการใช้งานจัดเก็บไม่เรียบร้อยกีดขวางทางเดิน,Unsafe Condition,Unsafe Condition
จุดปฏิบัติงาน ได้รับผลกระทบจากเสียงดังของ Steam blowing,Unsafe Action,Unsafe Action
ใช้กำมะรอคล้องกับSupport โดยตรง,Unsafe Condition,Unsafe Condition
ติดตั้งนั่งร้านเสร็จแล้วไม่มีการแขวน Tag แสดงสถานะ,Unsafe Action,Unsafe Condition
ไม่คล้องเกี่ยว safety harness,,Unsafe Action
พบรั้วกั้น Red zone ถูกอุปกรณ์นั่งร้านทับทำให้เป็นช่องเปิด,Unsafe Condition,Unsafe Condition
พบทีมงานทำงาน Clean Strainer และได้นำตัวเข้าไปในท่อ,Unsafe Action,Unsafe Action
นั่งร้านยังไม่ดำเนินการแก้ไข จึงแขวน Tag แดงไว้ก่อน,Unsafe Action,Unsafe Condition
"นั่งร้านไม่มีการตรวจสอบแขวน Tag บอกสถานะ 
",Unsafe Condition,Unsafe Condition
"พนักงานรื้อนั่งร้านไม่คล้องเกี่ยว Safety harness
",Unsafe Action,Unsafe Action
เอกสาร JICA Checklist ไม่ถูกเซ็นต์ตรวจสอบมาตรการก่อนเริ่มงาน,Unsafe Action,Unsafe Action
ไม่มีป้ายระบุพิกัดในการรับน้ำหนัก(SWL)ของคนและรอกในการยกขนย้าย Insulation,Unsafe Action,Unsafe Action
พบผู้ปฏิบัติงานทำการขัดผิวชิ้นงานด้วยใบปัดหางเปีย ให้ทำการใส่ Face sheild เพิ่ม,Unsafe Action,Unsafe Action
"ระหว่างประกอบอุปกรณ์มีการวาง Bolt,Nut และเครื่องมือไว้กับพื้น เสี่ยงต่อการตกลงด้านล่าง",Unsafe Action,Unsafe Condition
ใช้เทปพันจุดต่อสายไฟสำหรับเตรียมงานดูดน้ำ,Unsafe Condition,Unsafe Condition
พบผู้ปฏิบัติงานทำงานไม่ใส่ถุงมือ,,Unsafe Action
พบมีงานทำความสะอาดรางระบายน้ำ มีการเปิดฝารางไว้และไม่กั้นพื้นที่,Unsafe Condition,Unsafe Condition
พบถุงใส่ขยะจากการทำความสะอาดรางระบายน้ำยังไม่ได้ทำการจัดเก็บ,Unsafe Condition,Unsafe Condition
"พบรังผึ้งขนาดใหญ่ที่ความสูงประมาณ 16 m.
",,Unsafe Condition
"เวลา 18:00 น. ที่จุดเก็บขยะ Lay down มีกลุ่มควัน คาดว่าไหม้แผ่นพลาสติกบางๆ
 คล้าย บลูชีส ไม่มีอุปกรณ์เสียหาย และไม่มีผู้ได้รับบาดเจ็บ เบื้องต้นใด้แจ้ง EC & FM และใช้ถังดับเพลิงฉีดไป 2 ถัง
",Near Miss,Near Miss
มีการเปิด Checker plate ชั้น 4 เพื่อลงไปปฏิบัติชั้นล่าง โดยไม่มีการปิดกั้นด้วย hard barricade,Unsafe Condition,Unsafe Condition
Safety sling ไม่ได้พันล็อคป้องกันการสะบัดหลุด,Unsafe Condition,Unsafe Condition
"ผึ้งมาจับท่อ  36""",,Unsafe Condition
ทีมงานนำรถเข้ามาจัดเก็บ 5 ส. แล้วบรรทุกน้ำหนักมากเกินไปทำให้รถเอียงข้าง+ยางแบน,Unsafe Action,Unsafe Action
อุปกรณ์นั่งร้านวางกีดขวางอุปกรณ์ดับเพลิง,,Unsafe Condition
อุปกรณ์นั่งร้านวางรวมกันจำนวนมาก ,,Unsafe Condition
อุปกรณ์นั่งร้านวางรวมกันจำนวนมาก ,,Unsafe Condition
แนวรั้วฝั่งทิศเหนือใกล้ Main gate มีช่องเปิดหลายจุด,Unsafe Condition,Unsafe Condition
พบมีการทำงานบนที่สูงแต่แขวนแค่ hook เดียว,Unsafe Action,Unsafe Action
พบงานหุ้ม Insulation ไม่มีถุงหุ้ม,Unsafe Action,Unsafe Condition
พบงานหุ้ม Insulation ไม่มีถุงหุ้ม,Unsafe Action,Unsafe Condition
ใช้บันไดนั่งร้านพาดขึ้นไปทำงานบนที่สูง,Unsafe Action,Unsafe Action
พบนั่งร้านไม่สมบูรณ์ถูกถอดแผ่นรองพื้นและไม่มี Toe board,Unsafe Condition,Unsafe Condition
พบการทำงานบนที่สูง ยืนทำงานบนแผ่นกระดานนั่งร้านแผ่นเดียวและคล้องเกี่ยวกับท่อสายไฟอุปกรณ์ Plant,Unsafe Condition,Unsafe Condition
พบมีงานตั้งนั่งร้านแต่ลืมคล้องเกี่ยว harness,Unsafe Action,Unsafe Action
มีงานตัด เชื่อม เจียรล้อมพื้นที่ไม่ครอบคลุม,Unsafe Action,Unsafe Condition
ตู้ power supply  ที่จ่ายไฟไปเลี้ยง heater ของ motor ยังไม่มีใบรายการตรวจสอบอุปกรณ์ ,Unsafe Condition,Unsafe Condition
ผู้ปฎิบัติงานอยู่ใน line of fire,,Unsafe Condition
พบมีงานหุ้ม Foamglass แต่ผู้ปฏิบัติงานไม่สวมถุงมือ,Unsafe Action,Unsafe Action
เอกสาร work permit ในช่วงทดลองยังไม่สมบูรณ์,,Unsafe Action
พบมีงานรื้อนั่งร้านซึ่งอยู่ในขั้นตอนการรื้อแต่ยังไม่เสร็จ จึงให้แขวน Tag เหลืองไว้ก่อน,Unsafe Condition,Unsafe Condition
พบถังน้ำมันบริเวณสำหรับเก็บน้ำมันเก่าของ ทำ bund ไม่ครอบคลุมและไม่สมบูรณ์,Unsafe Condition,Unsafe Condition
เวลาประมาณ 14.25 น.ขณะทำการ Re-tube TLE(อุปกรณ์ E-100C)จังหวะสอด tube(ตัวใหม่)เข้าด้านใน TLE และ lock ด้วย clamp เพื่อที่จะวาง tube ให้นั่งอยู่กับ tube sheet ด้านบนของ TLE tube ได้รูดตกลงมาด้านล่าง กระแทกกับแผ่น plate ที่รองอยู่ด้านล่าง ไม่มีผู้ได้รับบาดเจ็บและทรัพย์สินเสียหาย (clamp ที่ใช้ล็อคขันยึดไม่แน่น ทำให้เมื่อปล่อยรอกที่ต๋ง tube จึงรูดตกลงด้านล่าง),Near Miss,Near Miss
"Rigger ยืนบนขอบกระบะรถเพื่อประครองกระบะโคลน
",Unsafe Action,Unsafe Action
พบมีงานขึ้นที่สูงแต่ลืมคล้องเกี่ยว harness,Unsafe Action,Unsafe Action
พบมีงานรื้อนั่งร้านแต่พบว่ามีการโยน clamp ลงมา,Unsafe Action,Unsafe Action
พบนั่งร้านในงานหุ้ม Insulation สภาพไม่สมบูรณ์ (ไม่ติดตั้งhandrail),Unsafe Condition,Unsafe Condition
ตรวจพบ workpermit HW-1 ไม่ได้มีการเซ็นตรวจเช็คค่า gas ลงใน workpermit,Unsafe Action,Unsafe Action
พบถังใส่สารเคมีด้านในเป็นของเหลว ไม่ทราบว่า ด้านในเป็นสารอะไร ไม่มีป้ายหรือสติกเกอร์ แสดงรายละเอียด และไม่มีถาดรอง,Unsafe Action,Unsafe Action
พบทำงานขยับ line support ใช้รอกโซ่ในการดึง beam ในแนวดิ่ง เป็นการใช้รอกผิดประเภท,Unsafe Action,Unsafe Action
พบฝารางระบายน้ำถูกเปิดไว้เนื่องจากมีการปล่อยน้ำทิ้งเสร็จแล้วไม่ได้ทำการปิด,Unsafe Condition,Unsafe Condition
รถเฮี๊ยบของเข้ามาขนอุปกรณ์นั่งร้าน แต่ไม่ได้กั้น Barricade,Unsafe Condition,Unsafe Condition
พบมีงานรื้อนั่งร้านแต่ล้อม Barricade ไม่ครอบคลุม,Unsafe Condition,Unsafe Condition
ตรวจพบบริเวณ Access door เข้า fire box มีการเปิด Blower ทิ้งไว้โดยที่ไม่มีการปฏิบัติงาน CSE (ไม่มีคนเฝ้า),Unsafe Action,Unsafe Action
พบช่างสี TTCL ทำงานคนเดียวไม่มีคนจับขาบันไดเอ,Unsafe Action,Unsafe Action
พบผู้ปฏิบัติงานทำงานหุ้ม Insulation ไม่ใส่แว่นตา,Unsafe Action,Unsafe Action
พบกองนั่งร้านอยู่ข้างขวางทางเดิน,,Unsafe Condition
งานเชื่อม handrail เป็นงานทับซ้อนอยู่ในวิถี line of fire,Unsafe Condition,Unsafe Condition
งานติดตั้ง Insulation ยืนบนจุดเสี่ยงนอกนั่งร้าน,Unsafe Action,Unsafe Action
งานเชือม Platform แนะนำให้เอาถังดับเพลิงขึ้นไปด้านบน เผื่อเกิดเหตุฉุกเฉิน ,Unsafe Condition,Unsafe Condition
พบถุง Big bag ค้างบน Pipe Rack,,Unsafe Condition
พบงานหุ้ม Insulation แต่ใยแก้วไม่มีถุงหุ้ม,Unsafe Action,Unsafe Action
Materail ค้างอยู่บน Pipe Rack,,Unsafe Condition
อุปกรณ์นั่งร้านกองไว้บน Structure,Unsafe Action,Unsafe Condition
Materail ค้างอยู่บน Structure,,Unsafe Condition
"งานรื้อนั่งร้านและขนย้ายอุปกรณฺ์
*ในหน่วยงานซ่อมยังใช้ Workpermit เก่าอยู่และก็ได้แนะนำไปแล้ว",Unsafe Action,Unsafe Action
ทาง MER feed back มา  ใช้เฮี๊ยบ ผิดวิธี,Unsafe Action,Unsafe Action
"รถกะบะทำแผ่นเหล็ก Beam ตกบนถนน 
ไม่มีผู้ได้รับบาดเจ็บและไม่มีอุปกรณ์เสียหาย",Near Miss,Near Miss
"ไม่ระบุมาตรการตรวจสอบหน้างาน lead,ผู้ขออนุญาต,เจ้าของพื้นที่ ทำให้เกิดการสับสนในการลงตรวจสอบหน้างาน ",Unsafe Action,Unsafe Action
"ไม่กำหนดช่วงเวลาในการเช็คแก๊ส,ออกซิเจน",Unsafe Action,Unsafe Action
ไม่ระบุมาตรการปิดล้อมพื้นที่ในการทำงานบนที่สูง,Unsafe Action,Unsafe Action
เอกสารแนบ(JSA) ใช้งาน 2 แบบฟอร์ม,Unsafe Action,Unsafe Action
ช่อง Permit Approver ไม่ถูกเซ็นต์กำกับจากCCB,Unsafe Action,Unsafe Action
ประตูรั้วระหว่าง Sub SC กับ ถนน NS3 ล้ม,Near Miss,Near Miss
งานหุ้ม Insulation เขียนอุปกรณ์ที่จะทำเพิ่มที่หน้างาน,Unsafe Action,Unsafe Action
มีถังอากอนไม่มีการใช้งานและไม่มีฝาครอบ,,Unsafe Condition
มีขยะที่ยังตกค้างจากการทำ Big cleening,,Unsafe Condition
"ขณะทำการรื้อแผ่น Insulation ได้วางสว่านแบตเตอรี่ไว้บนแผ่นนั่งร้าน จังหวะที่เคลื่อนย้ายแผ่น Insulation แผ่นนั่งร้านได้เกี่ยวสว่านแบตเตอรี่ตกลงมาด้านล่างความสูงประมาณ 20 เมตร 
",Near Miss,Near Miss
พบผู้ปฎิบัติงานระหว่างหุ้ม Foam glass ช่วงเปลี่ยนจุดทำงานไม่คล้องเกี่ยว Harness,Unsafe Action,Unsafe Action
พบนั่งร้านกองอยู่กับพื้นจำนวนมาก จากการรื้อของ,Unsafe Condition,Unsafe Condition
พบผู้ปฎิบัติงานไม่สวมไส่ Face Shield,Unsafe Action,Unsafe Action
ระบบ Register work ไม่ตรงกับเวลาทำงานหน้างานจริง,Unsafe Action,Unsafe Action
การนำ Workpermit แบบกระดาษมาใช้ที่หน้างาน JSA ยังเป็นแบบเก่าซึ่งทาง Safety Field ต้องเซนต์เหมือนเดิม,Unsafe Action,Unsafe Action
ผู้ปฎิบัติงานหุ้ม Foamglass อยู่นอก handrail แจ้งให้หยุดงานและให้ทำการตั้งนั่งร้าน,Unsafe Action,Unsafe Action
พบนำบันไดนั่งร้านมาใช้งาน,,Unsafe Condition
ลงชื่อรับทราบใน JSA งานหุ้ม Insulation โดยไม่ได้ทำงานหุ้ม Insulation,Unsafe Action,Unsafe Action
ผู้ขออนุญาตลงชื่อล่วงหน้าใน RTO,,Unsafe Action
ผู้ปฏิบัติงานไม่ทราบรายละเอียดงานติดตั้งนั่งร้าน,Unsafe Action,Unsafe Action
ไม่มี PTW ในการทำงาน (เก็บงาน),,Unsafe Action
มีการแก้ไขประเภทของ PTW,,Unsafe Action
ไม่ได้ตรวจสอบหน้างานใน WAH Certificate checklist ก่อนเริ่มงาน,Unsafe Action,Unsafe Action
ใช้รอกคล้องเกี่ยวกับจุดที่ไม่มั่นคง และใช้ลวดคล้องเกี่ยวหู spacer แทนอุปกรณ์ที่เป็นมาตรฐาน,Unsafe Condition,Unsafe Action
"ปฎิบัติงาน Insulation โดย
1.ไม่ได้ขออนุญาตจากเจ้าของพื้นที่เเละไม่มี work permit 
2.หัวหน้างานขาดการสื่อสารกับเจ้าของงาน",Unsafe Action,Unsafe Action
"ช่างทาสียืนบนท่อหุ้ม Foam glass
",Unsafe Action,Unsafe Action
"หินเจียรไม่มี Handle (พบก่อนนำมาใช้งาน)
",Unsafe Action,Unsafe Action
"ยืนทำงานบน Handrail โดยไม่มีจุดคล้องเกี่ยว Safety Harness
",Unsafe Action,Unsafe Action
พบผู้ปฎิบัติงาน ยืนทำงานบน Handrail โดนที่ไม่มีจุดคล้องเกี่ยวหรือจุดยืนที่มั่นคง,Unsafe Action,Unsafe Action
มีการทำงาน Hot work class l บน Pipe rack 7 B ซึ่งบริเวณนั้นมีหญ้าแห้ง อยู่จึงกลัวว่าจะเกิดไฟไหม้ได้,Unsafe Condition,Unsafe Condition
งานรื้อถอนนั่งร้าน นำรถเข็นเข้ามาเพื่อขนย้ายอุปกรณ์นั่งร้านออก แล้วรถเข็น slide ไปเหยียบฝารางระบายน้ำแตก 2 แผ่น ,Unsafe Condition,Near Miss
"หน้าจอเครื่องวัดแก๊สประจำตัว Fire Watch ไม่แสดง
",Unsafe Condition,Unsafe Condition
"Generator ไม่มี Extinguisher stand by
",,Unsafe Condition
"ใช้ประแจประกอบ Hose station โดยไม่ได้ผูกเชือก
",Unsafe Action,Unsafe Action
"ไม่จัดเก็บอุปกรณ์นั่งร้าน
",,Unsafe Condition
"อุปกรณ์นั่งร้านกีดขวางอุปกรณ์ดับเพลิง
",,Unsafe Condition
ใช้งานเครื่อง  Generator โดยไม่ทำการตรวจสอบสภาพเครื่องประจำวัน,Unsafe Action,Unsafe Action
นำประเเจเเละอุปกรณ์ต่างๆขึ้นไปทำงานบนที่สูงหรือพื้นที่นั่งร้าน เเล้วไม่มีภาชนะรองรับหรือ Protection,Unsafe Action,Unsafe Action
"ทำงานหุ้ม Insulation โดยไม่สวมใส่ถุงมือ
",Unsafe Action,Unsafe Action
"เจียร Support pipe โดยไม่มี Handle
",Unsafe Action,Unsafe Action
นั่งร้านไม่มีการตรวจสอบก่อนนำมาใช้งาน,,Unsafe Condition
ไม่ได้จัดเก็บแผงตาข่ายสีส้ม หลังการปฏิบัติงาน,,Unsafe Condition
แสงสว่างไม่เพียงพอ,,Unsafe Condition
ผู้ปฏิบัติงานสวมใส่แว่นตาดำขณะรื้อนั่งร้านเวลากลางคืน,Unsafe Action,Unsafe Action
พบเครื่อง Generater ยังไม่ผ่านการ Inspection,,Unsafe Condition
ตรวจพบงานเชื่อมใช้อุปกรณ์จับยึดสายกราวด์ผิดประเภท,Unsafe Action,Unsafe Condition
"งาน Hot work class I ตรวจพบการ ใช้หินเจียร์4"" พบว่าผู้ปฎิบัติงาน ใช้หินเจียรโดยไม่มีด้ามจับหรือ handle ",Unsafe Action,Unsafe Action
"ตรวจพบถังลม,ถังอาร์กอน,ไม่มี ฟ็อกกี้ ประจำหยุดเพื่อทำการ checklist จุด Connect ของถังลม,ถังอาร์กอนก่อนใช้งาน",Unsafe Condition,Unsafe Condition
มีงานตัดต้นไม้ของหน่วยงาน GA ซึ่งใน work permit ไม่ได้ระบุขั้นตอนการทำงานเเละทำการวิเคราะห์ความเสี่ยงก่อนเริ่มงาน ทำให้ผู้ปฎิบัติงานตัดต้นไม้ล้มทับเเนวรั้วของพื้นที่ downsteam เเละ Line ท่อของ PR-7B,Near Miss,Near Miss
