FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Details,TranslateDetails,Frequency,CleansingFinding,TranslateFinding
77,PP1,-,-,Unsafe Condition,Civil,Spark arrester ที่ครอบปลายท่อไอเสียเครื่องยนต์ของเครื่อง Water jet ขาดชำรุดไม่อยู่ในสภาพพร้อมใช้งาน,นำเครื่อง Water jet เข้ามาวางในพื้นที่ เตรียมงาน Cleaning,Bring the Water jet machine into the area to prepare for the cleaning work.,1,spark arrester ที่ครอบปลายท่อไอเสียเครื่องยนต์ของเครื่อง water jet ขาดชำรุดไม่อยู่ในสภาพพร้อมใช้งาน,The spark arrester that covers the end of the exhaust pipe of the water jet engine is broken and is not ready for use.
79,HDPE3,-,-,Unsafe Condition,-,พบมีการขีดช่อง Simple Lock แต่ไม่มีลงรายละเอียดนัมเบอร์อุปกรณ์,เปลี่ยนโคมไฟ,change lamp,1,พบมีนัมขดช่อง simple lock แต่ไม่มีลงรายละเอียดนมเบอร์อุปกรณ์,"Found a simple lock channel, but no details of the equipment number."
83,HDPE3,-,-,Unsafe Condition,Work Procedure,ประเมิน JSA ไม่ครอบคลุม เนื่องจากมีการนำรถเข้ามาในเขตขบวนการผลิต แต่ไม่มีการประเมินเรื่องอันตรายและมาตรการป้องกัน,งานขนย้ายตู้ Control,Control cabinet moving work,41,"ประเมิน jsa ไม่ครอบคลุม เนื่องจากมีการนำรถเข้ามาในเขตขบวนการผลิต แต่ไม่มีการประเมินเรื่องอันตราย , มาตรการป้องกัน","Evaluate jsa is not covered because the car is brought into the production area. But there is no assessment of danger, preventive measures."
87,HDPE4,-,-,Unsafe Condition,Chemical Work,ผู้ขออนุญาตและsafety lead ไม่ได้เช็คมาตรการความปลอดภัยในข้อ 2.1,ขนย้ายอุปกรณ์ด้วยรถบรรทุกเฮี้ยบ,Transport equipment with a heavy truck,4,"ผู้ขออนุญาต , safety lead ไม่ได้เช็คมาตรการความปลอดภัยในข้อ 2.1","The applicant for permission, safety lead did not check the safety measures in item 2.1."
88,Pilot plant complex,-,-,Unsafe Condition,Chemical Work,ชื่อผู้ควบคุมปั่นจั่น และ ผู้บังคับปั่นจั่น เป็นชื่อเดียวกัน และผู้ขออนุญาตไม่ได้เช็คตรวจสอบมาตรการความปลอดภัยในหัวข้อที่ 2.1,งานยกขนย้ายอุปกรณ์ด้วยรถบรรทุกเฮี้ยบ,Lifting and moving equipment with a hiab truck,1,"ชื่อผู้ควบคุม จั่น , ผู้บังคับ จั่น เป็นชื่อเดียวกัน , ผู้ขออนุญาตไม่ได้เช็คตรวจสอบมาตรการความปลอดภัยในหัวข้อที่ 2.1","Name of supervisor Jan, supervisor Jan is the same name, the applicant did not check the safety measures in section 2.1"
92,Bagging Site3,-,-,Unsafe Condition,Water jet,"ใน JSA ระบุไว้ว่ามีการ Test Run หลังแก้ไขเสร็จ แต่ไม่มีการลงรายละเอียดงานที่เกี่ยวข้องกับไฟฟ้า ที่ Work Permit  ",งานตรวจสอบ Check Weight  ไม่ทำงาน,The Check Weight check job does not work.,1,"ใน jsa ระบุไว้ว่ามีtest run test run หลังแก้ไขเสร็จ แต่ไม่มีลงรายละเอียดงานที่เกี่ยวข้อง , ไฟฟ้า ที่ work permit","In jsa it states that there is test run test run after finishing editing. But there is no detail related work, electricity at the work permit."
93,CPD Pipe Site3,-,-,Unsafe Condition,Installation/ Alignment,พบเอกสารเป็น Rev.เก่า,งานติดตั้ง Motor,Motor installation work,7,พบเอกสารเป็น revamp.เก่า,Documents found as old revamp.
96,Pilot plant complex,-,-,Unsafe Condition,-,ผู้ขออนุญาตไม่ได้ระบุชนิด PPE ให้ครอบคลุมตามลักษณะงานที่ทำ ตามการประเมินความเสี่ยงในJSA,ปรับพื้น ดูดน้ำ งานก่อสร้างMCPP Project,"Leveling the floor, sucking water, construction work MCPP Project",7,ผู้ขออนุญาตไม่ได้ระบุชนิด ppe ให้ครอบคลุมตามลักษณะงานที่ทำ ตามการประเมินความเสี่ยงในjsa,The applicant did not specify the type of ppe to cover the type of work performed. according to the risk assessment in jsa
99,CPD Pipe Site3,-,-,Unsafe Condition,Safety Management,"ประเเมิน JSA ไม่ครอบคลุม
 เนื่องจากพบมีการสาวรอกด้านบนแต่ใน JSA ไม่มีประเมินการทำงานที่สูงและ มาตรการป้องกัน",งานยกติดตั้ง Motor Extruder P4,Installation of Motor Extruder P4,15,"ประเมินjsa ไม่ ครอบคลุม , เนื่องจากพบมีสารรอกด้านบนแต่ใน jsa ไม่มีประเมินการทำงานที่สูง , มาตรการป้องกัน","Evaluation of jsa is not comprehensive, because it is found that there is a pulley above but in jsa there is no evaluation of high performance, preventive measures"
100,CPD Pipe Site3,-,-,Unsafe Condition,Work Procedure,มีกำหนด Simple lock แต่ไม่มีการลงข้อมูลรายละเอียด ซึ่งใน JSA มีมาตรการกำหนดไว้,"งานตัด Support & line ท่อ Wax D-401 , E-401","Support & line cutting Wax pipe D-401 , E-401",7,มีกำหนด simple lock แต่ไม่มีลงข้อมูลรายละเอียด ซึ่งใน jsa มีมาตรการกำหนดไว้,There is defined simple lock but no detail information which in jsa has defined measures.
100,CPD Pipe Site3,-,-,Unsafe Condition,Work Procedure,มีกำหนด Simple lock แต่ไม่มีการลงข้อมูลรายละเอียด ซึ่งใน JSA มีมาตรการกำหนดไว้,Change Flex TK-3402,Change Flex TK-3402,7,มีกำหนด simple lock แต่ไม่มีลงข้อมูลรายละเอียด ซึ่งใน jsa มีมาตรการกำหนดไว้,There is defined simple lock but no detail information which in jsa has defined measures.
100,CPD Pipe Site3,-,-,Unsafe Condition,Work Procedure,มีกำหนด Simple lock แต่ไม่มีการลงข้อมูลรายละเอียด ซึ่งใน JSA มีมาตรการกำหนดไว้,งานเปลี่ยนโคมไฟ,lamp replacement work,7,มีกำหนด simple lock แต่ไม่มีลงข้อมูลรายละเอียด ซึ่งใน jsa มีมาตรการกำหนดไว้,There is defined simple lock but no detail information which in jsa has defined measures.
103,Bagging Site3,-,-,Unsafe Condition,-,มีการปิดกั้นพื้นที่แต่ไม่มีเอกสารชี้บ่งที่จุดปิกกั้น,งานรื้อนั่งร้าน,Scaffolding work,3,มีการปิดกั้นพื้นที่แต่ไม่มีเอกสารชิ้นบ่งที่จุดปกกั้น,The area is blocked but there is no document indicating the blocking point.
104,Bagging Site3,-,-,Unsafe Condition,-,พบเอกสาร WAH ไม่ Up Date,งานรื้อนั่งร้าน,Scaffolding work,3,พบเอกสาร wah ไม่ up dataea,found wah document not up dataea
104,Bagging Site3,-,-,Unsafe Condition,-,พบเอกสาร WAH ไม่ Up Date,งานรื้อนั่งร้าน,Scaffolding work,3,พบเอกสาร wah ไม่ up dataea,found wah document not up dataea
106,HDPE4,-,-,Unsafe Condition,Installation/ Alignment,Hot work certifcate เป็น Revised 7 ซึ่งไม่ใช่ เอกสาร Revised ปัจจุบัน,Install Pipe & Support Z-7303,Install Pipe & Support Z-7303,5,hot work certificatecertificate เป็น raised ซึ่งไม่ใช่ เอกสาร raised ปัจจุบัน,hot work certificatecertificate is raised which is not the current document raised
106,HDPE4,-,-,Unsafe Condition,Installation/ Alignment,Hot work certifcate เป็น Revised 7 ซึ่งไม่ใช่ เอกสาร Revised ปัจจุบัน,Install Pipe & Support Z-7404,Install Pipe & Support Z-7404,5,hot work certificatecertificate เป็น raised ซึ่งไม่ใช่ เอกสาร raised ปัจจุบัน,hot work certificatecertificate is raised which is not the current document raised
106,HDPE4,-,-,Unsafe Condition,Installation/ Alignment,Hot work certifcate เป็น Revised 7 ซึ่งไม่ใช่ เอกสาร Revised ปัจจุบัน,ตัดเจียร์เชื่อมโครงหลังคา งานก่อสร้างMCPP Project,Cutting and welding the roof structure Construction MCPP Project,5,hot work certificatecertificate เป็น raised ซึ่งไม่ใช่ เอกสาร raised ปัจจุบัน,hot work certificatecertificate is raised which is not the current document raised
109,PP2,-,-,Unsafe Condition,SL Performance,"ตรวจสอบพบ JSA ขาดการประเมินในหัวข้อที่ 5 ",Welding Compressor Air Rack Room,Welding Compressor Air Rack Room,40,ตรวจสอบพบ jsa ขาดการประเมินในหัวข้อที่ 5,Check found jsa missing evaluation in section 5.
110,LLDPE,-,-,Unsafe Condition,Work at height,ตรวจสอบพบ JSA ไม่ตรงกับงานที่ปฏิบัติ,Install Scaffolding #400,Install Scaffolding #400,7,"ตรวจสอบพบ jsa ไม่ตรง , งานที่ปฏิบัติ","Checked for jsa mismatch, executing task."
111,Catalyst&Pilot plant,-,-,Unsafe Condition,Work Procedure,ตรวจสอบพบมีการปฏิบัติงานแล้ว พบ JSA ยังขาดการตรวจสอบมาตราการใน JSA หัวข้อที่ 6.1,Welding Cutting Pipe Support,Welding Cutting Pipe Support,4,ตรวจสอบพบมี6.1ปฏิบัติงานแล้ว พบ jsa ยังขาดตรวจสอบมาตรายjsaหัวใน ข้อ ที่,Checked and found that 6.1 has been implemented. Found that jsa still lacks. Check section jsa in item no.
118,PP1,-,-,Unsafe Condition,SL Performance,ไม่ควมคุมพื้นที่ให้อยู่ในสภาพทีปลอดภัย ยังมีวัสดุติดไฟอยู่ในพื้นที่,ตัดเปลี่ยน Valve vent line brine,Cut and replace Valve vent line brine,1,ไม่ความพื้นที่ให้อยู่สภาพในปลอดภัยยังมี วัสดุติดไฟอยู่พื้นที่ใน,No need to keep the area in a safe condition. Flammable materials in the area
119,PP3,-,-,Unsafe Condition,-,มีการทำงานที่สูง บนนั่งร้าน แต่ไม่ได้ประเมินความเสี่ยง เรื่องการทำงานที่สูงบนนั่งร้าน,ติดตั้งโคมไฟ,install lamp,16,มีการทำงานที่สูง บนนั่งร้าน แต่ไม่ได้ประเมินความเสี่ยง เรื่องการทำงานที่สูงบนนั่งร้าน,"There is work at height on scaffolding, but the risk is not assessed. About working at height on scaffolding"
121,Store Site7,-,-,Unsafe Condition,PPE,ผู้ขออนุญาตไม่ได้ระบุชนิด PPE ให้ครอบคลุมตามลักษณะงานที่ทำ ตามการประเมินความเสี่ยงในJSA เรื่องงานทาสี ต้องสวมใส่หน้ากากกรองสารเคมี,Install Support Conduit/ ทาสี,Install Support Conduit/ Paint,4,ผู้ขออนุญาตไม่ได้ระบุชนิด ppe ให้ครอบคลุมตามลักษณะงานที่ทำ ตามการประเมินความเสี่ยงในjsa เรื่องงานทาสี ต้องสวมใส่หน้ากากกรองสารเคมี,The applicant did not specify the type of ppe to cover the type of work performed. according to the risk assessment in jsa about paint job must wear a chemical filter mask
123,Catalyst&Pilot plant,-,-,Unsafe Condition,Work Procedure,"ตรวจสอบพบ JSA ขาดการตรวจสอบมาตราการ หัวข้อ 6.1 ",LOAD CHEMICAL COOLING,LOAD CHEMICAL COOLING,31,ตรวจสอบพบ jsa ขาด6.1ตรวจสอบมาตรายหัว ข้อ,check found missing jsa 6.1 check section heading
123,Catalyst&Pilot plant,-,-,Unsafe Condition,Work Procedure,"ตรวจสอบพบ JSA ขาดการตรวจสอบมาตราการ หัวข้อ 6.1 ",Welding Cutting Flat Bar D-3510 A,Welding Cutting Flat Bar D-3510 A,31,ตรวจสอบพบ jsa ขาด6.1ตรวจสอบมาตรายหัว ข้อ,check found missing jsa 6.1 check section heading
