No.,Company,Area,Sub Area,Reportor,Contractor,Type of finding,Topic,Details,Corrective Action,Issue Date,Due Date,Status
13,MOC,Olefins2,PR-14,Orachun S.,TTCL,Unsafe Condition,Tools & Equipment,"เครื่องเจียรในงานขัดหน้าแปลนไม่ได้ Inspect ประจำเดือนมกราคม, ใช้ Sticker เก่า",,1/4/2021,1/4/2021,Closed
14,MOC,Olefins2,PR-14,Orachun S.,RMS,Unsafe Action,Lifting,ทีมงานอยู่ใน Line of fire ขณะมีการยกท่อ,,1/4/2021,1/4/2021,Closed
15,MOC,Olefins2,"PR-12
(P-S250)",Orachun S.,TTCL,Unsafe Condition,Chemical Work,งาน Drain น้ำลง bund ไม่ได้ปิดล้อมพื้นที่ ป้องกันผู้ที่ไม่มีส่วนเกี่ยวข้องเข้าไปในบริเวณที่ปฏิบัติงาน,,1/4/2021,1/4/2021,Closed
16,MOC,Olefins2,Compressor,Nuttapong,TTCL,Unsafe Condition,Work at height,ช่องเปิดบนอาคาร ไม่มีการปิดกั้น Hard Barricade ซึ่งมีผู้ปฏิบัติงานเดินผ่านไปมา ,,1/4/2021,1/4/2021,Closed
17,MOC,Olefins2,PR-21,Nuttapong,TTCL,Unsafe Condition,Housekeeping,เศษขยะจำนวนมากจากงานรื้อนั่งร้าน อุดอยู่ในร่อง,,1/4/2021,1/4/2021,Closed
18,MOC,Olefins2,PR-12 (C9),Tanon,CAPK,Unsafe Condition,Hot Work,งาน HW I บนนั่งร้านสูง 4 เมตร มีสะเก็ดไฟหล่นลงมาตามทางเดินซึ่งไม่ได้ปิดล้อมพื้นที่ ,,1/4/2021,1/4/2021,Closed
19,MOC,Olefins2,PR-26 (C8),Orachun S.,TTCL,Unsafe Condition,Scaffolding,นั่งร้านมีสภาพไม่สมบูรณ์ ถูกรื้อแผ่นกระดานออกและไม่มีบันไดที่ชั้น2-3,,1/5/2021,1/5/2021,Closed
20,MOC,Olefins2,P-S426B,Tanon,TNE,Unsafe Action,Work at height,ผู้ปฏิบัติงานยืนทำงานนอกโครงสร้างนั่งร้าน และไม่มี Tag บอกสถานะของนั่งร้าน,,1/5/2021,1/5/2021,Closed
21,MOC,Olefins2,T-S500,Tiwa A.,PSA,Unsafe Condition,Hot Work,"งานประกอบ, เชื่อม Platfrom ไม่ปิดล้อมผ้ากันไฟ",,1/5/2021,1/5/2021,Closed
22,MOC,Olefins2,D-S003,Orachun S.,PSA,Unsafe Condition,Hot Work,งานเชื่อมปิดล้อมผ้ากันไฟไม่มิดชิด ทำให้มีสะเก็ดไฟหล่นมาตามช่องลงพื้น,,1/5/2021,1/5/2021,Closed
23,MOC,Olefins2,PR-17,Orachun S.,TNE,Unsafe Condition,Work Procedure,สว่านแบตเตอรี่ยังไม่ได้ผ่านการตรวจสภาพ,,1/5/2021,1/5/2021,Closed
24,MOC,COLD,-,Phasit P.,SIS,Unsafe Condition,Housekeeping,กองอุปกรณ์นั่งร้านวางสูงมากกว่า 2 เมตร,,1/5/2021,1/12/2021,Closed
25,MOC,UT,WWT,Phasit P.,TTCL,Unsafe Condition,Housekeeping,Valve และอุปกรณ์วางทิ้งไว้ไม่ได้ใช้งาน/ ไม่นำออกจากพื้นที่ หลังจบงาน TA,,1/5/2021,1/12/2021,Closed
26,MOC,HOT,GTG,Thongmai U.,ABB,Unsafe Condition,Electrical & Grounding,Checklist generator ยังไม่ได้ Updated เป็นปีปัจจุบัน,,1/5/2021,1/6/2021,Closed
27,MOC,HOT,GTG,Thongmai U.,ABB,Unsafe Condition,Scaffolding,Tag เขียว นั่งร้านมีการตรวจแล้ว แต่ลงวัน-เดือน-ปีผิด ,,1/5/2021,1/6/2021,Closed
28,MOC,HOT,GTG,Thongmai U.,ABB,Unsafe Condition,Housekeeping,วัสดุที่ไม่ได้ใช้งาน ไม่ได้จัดเก็บ กีดขวางพื้นที่ปฏิบัติงาน,,1/5/2021,1/6/2021,Closed
29,MOC,HOT,Furnace,Thongmai U.,KAEFER,Unsafe Condition,Scaffolding,การปิดกั้น Barricade งานติดตั้งนั่งร้านยังไม่ครอบคลุม,,1/5/2021,1/5/2021,Closed
30,MOC,HOT,Furnace,Thongmai U.,CR Asia,Unsafe Condition,Housekeeping,Pack Argon ไม่ได้ใช้งาน กีดขวางพื้นที่การทำงาน ,,1/5/2021,1/6/2021,Closed
31,MOC,Olefins2,PR-11,Sommart K.,ATI-LT,Unsafe Condition,Housekeeping,เศษอุปกรณ์ทิ้งไว้บนนั่งร้าน,,1/6/2021,1/6/2021,Closed
32,MOC,Olefins2,PR-13,Surasit,TTCL,Unsafe Condition,Scaffolding,นั่งร้านมีช่องเปิดมีเศษวัสดุตกค้างด้านบนนั่งร้านจำนวนมาก,,1/6/2021,1/6/2021,Closed
33,MOC,Olefins2,PR-13,Surasit,TTCL,Unsafe Action,Work at height,"ช่างสีผู้หญิงขึ้นทำงานเดินบนท่อ
",,1/6/2021,1/6/2021,Closed
34,MOC,Olefins2,PR-12,Orachun S.,TTCL,Unsafe Action,Work at height,ทีมงาน Pipping TTCL ขึ้นทำงานบนที่สูงไม่คล่องเกี่ยว Harness,,1/6/2021,1/6/2021,Closed
35,MOC,Olefins2,PR-17,Orachun S.,ATI-LT,Unsafe Condition,Scaffolding,งานรื้อนั่งร้าน แต่ไม่ล้อมพื้นที่,,1/6/2021,1/6/2021,Closed
36,MOC,Olefins2,PR-17,Orachun S.,CTL,Unsafe Condition,Others,รถเข็นสภาพล้อชำรุดยางแบน,,1/6/2021,1/6/2021,Closed
37,MOC,Olefins2,Compressor,Nakarin S.,TTCL,Unsafe Action,PPE,ผู้ปฏิบัติงานไม่สวมไส่ Ear Plug ปฎิบัติงาน Air Flushing บนอาคารComp,,1/6/2021,1/6/2021,Closed
38,MOC,Olefins2,"PR-B1 
(C5)",Surasit,TNE,Unsafe Action,Work Procedure,พนักงานรับเหมาเดินบนท่อที่หุ้มเรียบร้อยแล้ว เป็นรอยบุบ,,1/7/2021,1/7/2021,Closed
39,MOC,Olefins2,PR-17,Orachun S.,TTCL,Unsafe Condition,Work at height,มีการนำบันไดนั่งร้านมาพาดใช้งานแบบผิดประเภท,,1/7/2021,1/7/2021,Closed
40,MOC,Olefins2,PR-25,Orachun S.,STATE,Unsafe Condition,Hot Work,งานเจียรปูนแต่เครื่องเจียรไม่มี handle ไม่ล้อมพื้นทีกันละอองฝุ่นและไม่มี flogy สำหรับฉีดลดการฟุ้งกระจานของฝุ่น ,,1/7/2021,1/7/2021,Closed
41,MOC,Olefins2,PR-16,Orachun S.,CAPK,Unsafe Condition,Hot Work,งานตัดเชื่อมเจียรSupport pipe ปิดกั้นผ้ากันไฟไม่มิดชิดมีลูกไฟกระเด็นออก นอกผ้ากันไฟ,,1/7/2021,1/7/2021,Closed
42,MOC,Olefins2,-,Orachun S.,ATI-LT,Unsafe Condition,Scaffolding,นั่งร้านมีลักษณะไม่แข็งแรงโยกไปมา,,1/7/2021,1/7/2021,Closed
43,MOC,Olefins2,E-S672A,Tiwa A.,SR,Unsafe Condition,Scaffolding,รื้อนั่งร้านโดยไม่ล้อมพื้นที่,,1/7/2021,1/7/2021,Closed
44,MOC,Olefins2,-,Orachun S.,SR,Unsafe Condition,Scaffolding,นั่งร้านไม่มี Tag,,1/8/2021,1/8/2021,Closed
45,MOC,Olefins2,"ด้านหลัง 
Heater",Surasit,TTCL,Near Miss,Work at height,Torque bolt บนเตา SC ความสูงประมาณ 27 เมตรได้ทำประแจเบอร์ 22 ร่วงหล่นลงมาค้างอยู่บนชั้นที่ความสูง 20 เมตร ,,1/8/2021,1/8/2021,Closed
46,MOC,Olefins2,-,Orachun S.,TTCL,Unsafe Action,Work at height,ใช้ประแจขันน็อตหน้าแปลนไม่มีเชือกผูก,,1/9/2021,1/9/2021,Closed
47,MOC,Olefins2,E-S672A,Orachun S.,TNE,Unsafe Condition,Scaffolding,นั่งร้านมีช่องเปิด,,1/9/2021,1/9/2021,Closed
48,MOC,Olefins2,PR-21,Orachun S.,TTCL,Unsafe Condition,Scaffolding,นั่งร้านแบบเคลื่อนที่ มีลักษณะเบียดชนกับสายสัญญาณของทาง Plant,,1/9/2021,1/9/2021,Closed
49,MOC,Olefins2,PR-22,Orachun S.,TTCL,Unsafe Condition,Chemical Work,สาย Load N2 ลวดสลิงไม่ได้พันกับเทป,,1/9/2021,1/9/2021,Closed
50,MOC,Olefins2,PR-22,Tiwa A.,TTCL,Unsafe Condition,Housekeeping,Materail ค้างอยู่บน Pipe Rack,,1/11/2021,1/11/2021,Closed
51,MOC,Olefins2,PR-24,Tiwa A.,TTCL,Unsafe Condition,Scaffolding,นั่งร้านมีสภาพไม่สมบูรณ์,,1/11/2021,1/11/2021,Closed
52,MOC,Olefins2,-,Orachun S.,TTCL,Unsafe Action,Work at height,"ถอดหน้าแปลนท่อขนาด 10"" แต่ประแจไม่มีการผูก",,1/11/2021,1/11/2021,Closed
53,MOC,Olefins2,-,Orachun S.,TTCL,Unsafe Condition,Hot Work,ผ้ากันไฟมีลักษณะขาดเป็นรู,,1/11/2021,1/11/2021,Closed
54,MOC,Olefins2,-,Orachun S.,CAPK,Unsafe Condition,Hot Work,ล้อมล้อมผ้ากันไฟไม่มิดชิด,,1/11/2021,1/11/2021,Closed
55,MOC,Olefins2,-,Orachun S.,TTCL,Unsafe Condition,CSE,สาย flex ตัวหนอนขาออกจาก blower มีลักษณะชำรุด,,1/11/2021,1/11/2021,Closed
56,MOC,Olefins2,PR-24,Orachun S.,PSA,Unsafe Condition,Hot Work,ล้อมล้อมผ้ากันไฟไม่มิดชิด,,1/11/2021,1/11/2021,Closed
57,MOC,HOT,Furnace,Thongmai U.,KAEFER,Unsafe Condition,Electrical & Grounding,จัดวางเครื่องรีดแผ่นอลูมิเนียม ฐานไม่มั่นคง,,1/12/2021,1/12/2021,Closed
58,MOC,Olefins2,PR-23,Orachun S.,CAPK,Unsafe Condition,Lifting,สลิงผ้าใบสภาพขาดชำรุด,,1/12/2021,1/12/2021,Closed
59,MOC,Olefins2,PR-27,Orachun S.,TTCL,Unsafe Condition,Housekeeping,สายไฟห้อยลงมาขวางทางเดิน,,1/12/2021,1/12/2021,Closed
60,MOC,Olefins2,PR-24,Orachun S.,MASS,Unsafe Condition,Pressure test,สาย House สลิงไม่ได้มัดกับเทป,,1/12/2021,1/12/2021,Closed
61,MOC,Olefins2,PR-23,Orachun S.,TTCL,Unsafe Condition,Housekeeping,สีหกเลอะพื้น,,1/12/2021,1/12/2021,Closed
62,MOC,HOT,Furnace,Thongmai U.,RNC,Unsafe Condition,Work at height,ช่องเปิดบริเวณใต้ TLE เสี่ยงต่อการตกจากที่สูง,(>)แจ้ง Safety Layer1 ประสานงานช่างนั่งร้าน ทำการปิดกั้นด้วย Hard barricade เรียบร้อย,1/13/2021,1/13/2021,Closed
63,MOC,Olefins2,-,Tanon,STATE,Unsafe Condition,Insulation,"งานรื้อ Insulation ไม่ได้ปิดล้อมผ้าใบ
","1.1 จัดเตรียมพื้นที่ ล้อมผ้าใบบริเวณจุดตัดแต่งปูน
2.1 ให้มีการสเปรย์น้ำฉีดขณะที่มีการแต่งเจียรปูน",1/13/2021,1/13/2021,Closed
64,MOC,Olefins2,D-S671,Nuttapong,TTCL,Unsafe Condition,Scaffolding,ช่างสีขึ้นปฏิบัติงานบนนั่งร้าน ไม่ได้มาตราฐาน,,1/13/2021,1/13/2021,Closed
65,MOC,Olefins2,Compressor,Tanon,TTCL,Unsafe Action,Work at height,"1.ผู้ปฏิบัติงานขึ้นเหยียบ line ท่อที่หุ้มInsulation
2.safety harness คล้องเกี่ยวกับline ท่อผลิต","การแก้ไข/ปรับปรุง
-แจ้งผู้ปฏิบัตงานและSafety ให้ทราบถึงอันตรายและการกำหนดพื้นที่ยืนปฏิบัติงานให้ปลอดภัยและเหมาะสม",1/13/2021,1/13/2021,Closed
66,MOC,Olefins2,TV-S208,Nakarin S.,TTCL,Unsafe Condition,Hot Work,ไม่มีผ้ากันไฟ ปิดคุม insulation,"การแก้ไข/ปรับปรุง
-แจ้งให้  Fire Watch นำผ้ากันไฟมาปิดคุม insulation ให้มิดชิด ก่อนกลับไปปฎิบัติงาน Hot Work อีกครั่ง",1/13/2021,1/13/2021,Closed
67,MOC,Olefins2,"Compressor
(E-S318C)",Orachun S.,TTCL,Unsafe Condition,Work at height,ใช้บันไดนั่งร้านมาพาดทำงาน,,1/13/2021,1/13/2021,Closed
68,MOC,Olefins2,-,Orachun S.,TTCL,Unsafe Action,PPE,ผู้ปฏิบัติงานไม่สวมถุงมือ,,1/13/2021,1/13/2021,Closed
69,MOC,Olefins2,-,Orachun S.,TTCL,Unsafe Condition,Work Procedure,อุปกรณ์ ยังไม่ผ่านการตรวจสภาพและไม่ติด Tag,,1/13/2021,1/13/2021,Closed
70,MOC,Olefins2,-,Surasit,TTCL,Unsafe Action,Work Procedure,ผู้หญิงขึ้นนั่งร้าน  เกิน  10  เมตร,,1/14/2021,1/14/2021,Closed
71,MOC,Olefins2,-,Surasit,TTCL,Unsafe Action,Work at height,นำบันไดนั่งร้านพาด Handrail,,1/14/2021,1/14/2021,Closed
72,MOC,Olefins2,PR-22,Tanon,TTCL,Unsafe Condition,Scaffolding,นั่งร้านไม่พร้อมใช้งาน,"การแก้ไข/ปรับปรุง
-แจ้งSafety ttcl(k.บุญเรือง) ให้ผสานทีมงานที่เกี่ยวข้องเพื่อหาข้อมูล เรื่องสถานะของนั่งร้าน หากมีความจำเป็นต้องใช้งาน ต้อง modify นั่งร้านให้ปลอดภัย หากไม่ใช้งานหรือรอการรื้อถอนให้แขวนTagแดง (ห้ามใช้งาน)",1/14/2021,1/14/2021,Closed
73,MOC,Olefins2,PR-23,Tiwa A.,TTCL,Unsafe Condition,Work at height,ใช้ลวดมัด Guardrail ให้เปิดตลอดเวลา,,1/14/2021,1/14/2021,Closed
74,MOC,Olefins2,PR-22,Tiwa A.,TNE,Unsafe Condition,Transportation,ขนย้ายถุง bigbag ด้วยรถ Forklift ไม่ได้ทำการกั้นพื้นที่,หลังการแก้ไข ทำการปิดล้อมพื้นที่ปฏิบัติงานด้วย barricade และมีผู้คอยให้สัญญาณรถโฟลคลิฟ ขณะปฏิบัติงาน,1/14/2021,1/14/2021,Closed
75,MOC,Olefins2,-,Orachun S.,TTCL,Unsafe Condition,Work at height,นำแผ่นนัางร้านมาพาดเป็นทางเดิน,,1/14/2021,1/14/2021,Closed
76,MOC,Olefins2,PR-12,Orachun S.,TTCL,Unsafe Action,Hot Work,งานเชื่อมไม่มี Fire watch อยู่หน้างาน ,,1/14/2021,1/14/2021,Closed
77,MOC,Olefins2,PR-17,Orachun S.,TTCL,Unsafe Condition,Scaffolding,โครงสร้างนั่งร้านตั้งขวางทางเดิน,,1/14/2021,1/14/2021,Closed
78,MOC,Olefins2,PR-21,Orachun S.,TTCL,Unsafe Action,PPE,ผู้ปฏิบัติงาน ถอดน็อต ไม่ใส่ถุงมือ,,1/15/2021,1/15/2021,Closed
79,MOC,Olefins2,PR-23,Orachun S.,TTCL,Unsafe Action,Work at height,ปีนบันไดนั่งร้านขึ้นไปทาสี,,1/15/2021,1/15/2021,Closed
80,MOC,Olefins2,E-S671,Nuttapong,TTCL,Unsafe Action,Electrical & Grounding,ใช้งานเครื่อง gen แต่ไม่มีผู้เฝ้าระวัง,,1/15/2021,1/15/2021,Closed
81,MOC,Olefins2,E-S671,Nuttapong,TTCL,Unsafe Action,Work at height,ใช้เชือก ผูกรัดกับ Stud Bolt เพื่อทำการขนย้ายขึ้นด้านบน แจ้งให้แก้ไข โดยการใช้ถุง,,1/15/2021,1/15/2021,Closed
82,MOC,Olefins2,-,Surasit,TTCL,Unsafe Condition,Work at height,มีงานบนที่สูง ไม่ล้อม Barricade,,1/15/2021,1/15/2021,Closed
83,MOC,COLD,E-380,Aphicha,TNE,Unsafe Condition,Housekeeping,พบสัตว์มีพิษ ใกล้งานหุ้ม Insulation,เเจ้งให้คู่ธุระกิจหยุดงานในพื้นที่ ชั่วคราว เพื่อทำงานการเเก้ไข โดยให้ไปทำจุดอื่นที่สามารถ ปฎิบัติงานได้โดยปลอดภัย,1/16/2021,1/16/2021,Closed
84,MOC,Olefins2,-,Surasit,TTCL,Unsafe Condition,Electrical & Grounding,สายไฟพาดข้ามถนนไม่มีตัวครอบสายไฟ,,1/16/2021,1/16/2021,Closed
85,MOC,Olefins2,-,Surasit,TTCL,Unsafe Action,Work at height,ทำงานคนเดียว ไม่มี Buddy  คอยจับบันไดให้,,1/16/2021,1/16/2021,Closed
86,MOC,HOT,I2R1,Aphicha,TTCL,Unsafe Action,PPE,ไม่สวมใส่ถุงมือขณะหยิบจับชิ้นงาน,,1/17/2021,1/17/2021,Closed
87,MOC,HOT,Furnace,Thongmai U.,RNC,Unsafe Condition,Lifting,กระเช้าที่นำมามาใช้งานไม่มีขอบยางกันกระแทก,,1/17/2021,1/17/2021,Closed
88,MOC,Olefins2,-,Orachun S.,TNE,Unsafe Condition,Housekeeping,พบชายถุงไปเกี่ยวติดกับท่อนั่งร้านที่ทำเป็นคอกล้อมไว้เพื่อป้องกันการฟุ้งกระจาย,แจ้งผู้ให้สัญญาณคอยดูแลอย่างใกล้ชิดและให้ทำการนำท่อเอาออกหรือลดระดับลงมา แจ้งทาง Safety TNE แล้ว,1/17/2021,1/17/2021,Closed
89,MOC,Olefins2,-,Orachun S.,TTCL,Unsafe Condition,Housekeeping,นำ Insulation มาวางไว้กับพื้นแต่ไม่มีการจัดเก็บ,,1/17/2021,1/17/2021,Closed
90,MOC,Olefins2,PR-11,Orachun S.,TTCL,Unsafe Condition,Work at height, นำบันไดนั่งร้านมาพาดต่อใช้งาน,,1/17/2021,1/17/2021,Closed
91,MOC,Olefins2,-,Orachun S.,TNE,Unsafe Condition,Housekeeping,ไม้พาเลทที่วางถุง Perlite ชำรุดเสียหาย,: ได้แจ้งทาง Safety TNE ให้ระวังการขนย้ายให้มากขึ้นเพราะ Perlite บางพาเลท สภาพไม่สมบรูณ์,1/17/2021,1/17/2021,Closed
92,MOC,UT,PR-7C,Uthai T.,TTCL,Unsafe Condition,Housekeeping,ขยะกองไว้ไม่ได้จัดเก็บจำนวนมาก,,1/18/2021,1/25/2021,Closed
93,MOC,HOT,H-100C,Thongmai U.,RNC,Unsafe Action,Work at height,ยืนปฏิบัติงานนอก Hard Barricade เสี่ยงต่อการตกจากที่สูง,,1/18/2021,1/18/2021,Closed
94,MOC,HOT,H-100C,Thongmai U.,RNC,Unsafe Action,PPE,สวมใส่หน้ากาป้องกันฝุ่นไม่เหมาะสมกับลักษณะหน้างาน,,1/18/2021,1/18/2021,Closed
95,MOC,HOT,H-100C,Thongmai U.,RNC,Unsafe Action,Lifting,พนักงานเข้าไปในพื้นที่ Barricade งานยกที่แขวนชิ้นงานไว้ด้านบน,,1/18/2021,1/18/2021,Closed
96,MOC,Olefins2,"Cold Box
(HV-S610)",Tanon,SR,Unsafe Condition,Scaffolding,บันไดนั่งร้านไม่มีจุดยึดขาด้านล่าง,แจ้งทีมงานที่เกี่ยวข้อง ให้เพิ่มจุดยึดขาบันไดเพื่อเสริมความแข็งแรง ก่อนใช้งาน,1/18/2021,1/18/2021,Closed
97,MOC,Olefins2,"Cold Box
",Tanon,TNE,Unsafe Condition,Housekeeping,ขณะที่ผู้ปฏิบัติงาน แกะถุง Bigbag มีฝุ่นฟุ้งกระจาย จำนวนมาก,"การแก้ไข/ปรับปรุง
1.แจ้งหัวหน้างานและSafety ของTNE ให้ดำเนินการจัดหาแว่นตาgoggle ให้กับผู้ปฏิบัติงาน สวมใส่ขณะ load perlite
2.แก้ไขมาตรการใน jsa ให้ปลอดภัยและสอดคล้องกับหน้างาน",1/18/2021,1/18/2021,Closed
98,MOC,Olefins2,Compressor,Orachun S.,CAPK,Unsafe Action,Hot Work,ใช้หินเจียรไม่มี Handle,,1/18/2021,1/18/2021,Closed
99,MOC,Olefins2,Compressor,Orachun S.,CAPK,Unsafe Condition,Hot Work,ล้อมผ้ากันไฟไม่มิดชิด,,1/18/2021,1/18/2021,Closed
100,MOC,Olefins2,PR-24,Orachun S.,EMAS,Unsafe Condition,Chemical Work,พบงาน Load N2 ข้อต่อสาย Hose ไม่มีสลักล็อค,,1/18/2021,1/18/2021,Closed
101,MOC,Olefins2,-,Orachun S.,SR,Unsafe Action,Work Procedure,มีการเหยียบท่อหุ้ม Insulation ขณะปฏิบัติงานรื้อนั่งร้าน,,1/18/2021,1/18/2021,Closed
102,MOC,Olefins2,-,Orachun S.,PSA,Unsafe Condition,Hot Work,พบมีงานตัด เจียร ล้อมผ้ากันไฟไม่ครบทุกด้าน และไม่มีถังดับเพลิง ,จึงแจ้งให้หยุดงานชั่วคราว และแจ้ง Safety น้ำอ้อย PSA ให้ดูแลอย่างใกล้ชิด และให้จัดหาถังดับเพลิงแบะล้อมผ้ากันไฟใหม่ P1 Coolingtower,1/18/2021,1/18/2021,Closed
103,MOC,Olefins2,"Cold Box
",Tanon,TNE,Unsafe Condition,Insulation,"งานหุ้มInsulation
1.จุดผสมน้ำยาไม่มีถาดรอง
2.ไม่มีรายละเอียดของน้ำยาหรือSDSระบุในการนำมาใช้งาน","การแก้ไข/ปรับปรุง
-แจ้งSafety ควบคุมงานให้จัดหาภาชนะรอง จุดผสมน้ำยา และระบุชนิดของน้ำยาที่นำมาใช้หรือข้อมูลSDSให้ชัดเจน",1/18/2021,1/18/2021,Closed
104,MOC,HOT,GTG,Thongmai U.,ABB,Unsafe Action,Electrical & Grounding,ใช้งานตู้จ่ายไฟโดยไม่ได้ตรวจสอบ Daily Checklist,,1/19/2021,1/19/2021,Closed
105,MOC,HOT,GTG,Thongmai U.,ABB,Unsafe Condition,Scaffolding,นั่งร้านรอรื้อถอน ไม่ได้แขวน Tag แดง,,1/19/2021,1/19/2021,Closed
106,MOC,HOT,GTG,Thongmai U.,ABB,Unsafe Condition,Housekeeping,อุปกรณ์ระหว่างการใช้งานจัดเก็บไม่เรียบร้อยกีดขวางทางเดิน,,1/19/2021,1/19/2021,Closed
107,MOC,Olefins2,Compressor,Tanon,CAPK,Unsafe Action,Pressure test,จุดปฏิบัติงาน ได้รับผลกระทบจากเสียงดังของ Steam blowing,"การแก้ไข/ปรับปรุง
1.จัดเตรียมอุปกรณ์ลดเสียงสวมใส่ตลอดเวลาที่มีการปฏิบัติงาน
2.เพิ่มเติมมาตรการสวมใส่อุปกรณ์ลดเสียง 
(Ear plug,Ear muff)
หากพื้นที่ปฏิบัติงานได้รับผลกระทบจากเสียงดัง ลงใน jsa",1/19/2021,1/19/2021,Closed
108,MOC,Olefins2,H-S120A,Tiwa A.,RNC,Unsafe Condition,Lifting,ใช้กำมะรอคล้องกับSupport โดยตรง,,1/19/2021,1/19/2021,Closed
109,MOC,Olefins2,PR-22,Tiwa A.,SR,Unsafe Condition,Scaffolding,ติดตั้งนั่งร้านเสร็จแล้วไม่มีการแขวน Tag แสดงสถานะ,,1/19/2021,1/19/2021,Closed
110,MOC,Olefins2,-,Tanon,TNE,Unsafe Action,Work at height,ไม่คล้องเกี่ยว safety harness,ชี้แจงผู้ปฏิบัติงานให้ทราบถึงอันตรายและมาตรการการทำงานบนที่สูงของเกี่ยว 100% เรียบร้อยครับ,1/19/2021,1/19/2021,Closed
111,MOC,Olefins2,Heater,Orachun S.,TTCL,Unsafe Condition,Work at height,พบรั้วกั้น Red zone ถูกอุปกรณ์นั่งร้านทับทำให้เป็นช่องเปิด,,1/19/2021,1/19/2021,Closed
112,MOC,Olefins2,PM-226A,Orachun S.,TTCL,Unsafe Action,Water jet,พบทีมงานทำงาน Clean Strainer และได้นำตัวเข้าไปในท่อ,,1/19/2021,1/19/2021,Closed
113,MOC,Olefins2,"Cold Box
",Tanon,TTCL,Unsafe Condition,Scaffolding,นั่งร้านยังไม่ดำเนินการแก้ไข จึงแขวน Tag แดงไว้ก่อน,,1/20/2021,1/20/2021,Closed
114,MOC,Olefins2,Heater,Nakarin S.,TTCL,Unsafe Condition,Scaffolding,"นั่งร้านไม่มีการตรวจสอบแขวน Tag บอกสถานะ 
",เบื้องต้น แขวน Tag  แดงห้ามใช่งานนั่งร้าน จนกว่าจะมีการตรวจสอบนั่งร้านให้กลับมาใช่งานได้อีกครั่ง,1/20/2021,1/20/2021,Closed
115,MOC,Olefins2,E-S672AB,Nakarin S.,SR,Unsafe Action,Work at height,"พนักงานรื้อนั่งร้านไม่คล้องเกี่ยว Safety harness
","เบื่องต้นให้หยุด ปฏิบัติงานชั่วคราว
และได้ร่วมพูดคุยเกี่ยวกับมาตรการการทำงานบนที่สูง ให้เข้าใจและปฏิบัติตามข้อกำหนด จึงให้กลับไปปฏิบัติงานอีกครั่ง",1/20/2021,1/20/2021,Closed
