FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Details,TranslateDetails
11,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบพบคู่ร่วมธุรกิจบริษัท BMC งานเชื่อม Support ผู้ช่วยช่างและ Fire Watch ไม่มี Mask ป้องกันอันตรายจากฟูมงานเชื่อม 
ผ้ากันไฟไม่สามารถป้องกันสเก็ดไฟได้มีการจับผ้ากันไฟไว้เองรับแจ้งพื้นที่ไม่อำนวย","Investigate the business partner of BMC Company, Welding Support, Technician Assistant and Fire Watch. No Mask to prevent danger from welding fume.
Fire retardant cloth can't prevent fire splatter, have to hold the fire retardant cloth by yourself."
12,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,Safety Lead ที่ดูแลหน้างานใน Work Permit และ JSA ระบุเป็นงาน H/W Class I และ งานบนที่สูง ตรวจสอบพบ Lead งานบนที่สูงหมดอายุ ตั้งแต่ วันที่ 21/08/64,Safety Lead in charge of on-site work in Work Permit and JSA identified as H/W Class I and high-altitude jobs. Lead work at heights was found to expire on 21/08/64.
13,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Condition,Unknown,"ตรวจสอบพบ 
- คนงานหุ้ม Insulation ไม่มี Mask ป้องกันตราบจากฝุ่น Insulation
- คนงานที่ยาแนวโดยใช้ Silicone ไม่สวมใส่ Mask ป้องกันอันตรายจากไอกรดของ Silicone 
- ตรวจสอบใน JSA มีระบุการป้องกันอันตรายไว้เพียงแค่ผ้าปิดจมูก ","detect
- Insulation cladding workers do not have a mask as long as they are protected from dust insulation
- Workers who grout using silicone do not wear a mask to prevent the danger of silicone's acid vapor.
- Checked in the JSA, there is only a protective mask on the nose."
14,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบคู่ธุรกิจบริษัท MYC กำลังทำ PT-Test พบไม่สวมใส่ Mask ป้องกันไอระเหยของน้ำยา PT ได้ทำการแจ้งเตือนและขอตรวจสอบ JSA ไม่พบการประเมินงาน PT-Test ,Found MYC business partner doing PT-Test found not wearing a mask to prevent vapors of refrigerant PT has notified and requested to check JSA No PT-Test assessment found.
15,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบเอกสาร SE-F-0189 Rev.007 Fire Watch ไม่ลงข้อมูลในข้อ 3 (การเฝ้าระวังหลังเสร็จสิ้นการปฎิบัติงาน) ลงเพียงเวลาเริ่มงานในช่วงเช้า ไม่ลงรายระเอียด สิ้นสุดการเฝ้าระวังในช่วงเช้าและลงลายมือชื่อในช่วงเช้า (ตามรูปแนบ),"Check document SE-F-0189 Rev.007 Fire Watch does not enter information in item 3 (surveillance after completion of work), only the start time in the morning. do not enter details End surveillance in the morning and sign in the morning (as attached)."
16,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบอุปกรณ์ส่วนควบไม่ครบ พบเจอ Grinder 4 นิ้ว ไม่สวมใส่ Handle และการใช้งานพื้นที่ปกติที่ไม่ใช่หลืบมุมที่จำเป็นต้องถอด,"Detected incomplete fittings, found a 4-finger grinder, no handle wear, and normal use of non-cornered areas that need to be removed."
17,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบพบ Permit พบ ข้อ1.1 Permit Requestor (ก่อเกียรติ)คนขอปฏิบัติงาน ไม่ได้เข้ามาทำงาน
หน้างานมีการปฏิบัติงาน โดยการรับรองการทำงานข้อ 3 คนเซ็นเอกสารเป็น (นายดำรงเกียรติ) คนละคนกัน
และในเอกสารแนบ Safe Work Certificate งานบนที่สูง ก็เป็นการเซ็นเอกสารโดยคุณก่อเกียรติ 
รวมถึงเอกสาร JSA (ผู้ขออนุญาต)","Detected Permit found. Article 1.1 Permit Requestor (honor) people requesting work. did not come to work
The job page has operations. By certifying work number 3, people sign the document as (Mr. Damrongkiat) different person
And in the attachment of the Safe Work Certificate, the work at height is signed by Mr. Korkiat.
including JSA documents (licenseee)"
18,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบมีการใช้งานเลื่อยวงเดือน ขอตรวจสอบ Work Permit และ JSA ไม่พบการประเมิน JSA ในการใช้งานเลื่อยวงเดือน,Detects circular saws in use Request a Work Permit and JSA No JSA assessments were found on circular saws.
19,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ขอตรวจสอบ Safety Lead ที่ระบุไว้ใน Work Permit พบชื่อคุณวรรณิภา เซ็นระบุอยู่ที่ข้อ 1.3 และข้อ 3 แต่หน้างานจริงพบเป็นคุณจินตนา ปฏิบัติงานอยู่จึงได้สอบถามว่าคุณวรรณิภา ทำไมไม่มาดูงานนี้รับแจ้งจากคุณจินตนา ว่าไม่ได้เข้ามาทำงานทางบริษัทให้เข้ามาดูงานแทน,"Ask to check the Safety Lead specified in the Work Permit. Found the name of Ms. Wannipa. The signature is specified at Article 1.3 and Article 3, but the actual event was found as Khun Jintana. Currently working, he asked Mr. Wannipa. Why didn't you come and see this event? I was informed by Khun Jintana. that he did not come to work for the company to come and see the work instead"
20,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบพบ ข้อ 1.1 Permit Requester ชื่อนายก่อเกียรติ เป็นผู้ขออนุญาต (ไม่ได้เข้ามาทำงาน)
ข้อ 3 Permit Requester ที่ลงชื่อมาดูงานชื่อนายดำรงเกียรติ 
เอกสาร Safe Work Checklist งานที่ก่อให้เกิดประกายไฟ,งานบนที่สูงและ JSA จะต้องมีการตรวจสอบหน้างานก่อนจาก Checklist พบมีการลงชื่อนายก่อเกียรติ (ไม่ได้เข้ามาทำงาน)","Detected Article 1.1 Permit Requester Name Mr. Korkiat is a licensee (didn't come to work)
Article 3 Permit Requester who signed up to see the event named Mr. Damrongkiat
Safe Work Checklist documents, spark jobs, work at heights and JSA must be inspected on-site before from the Checklist found that Mr. Kokiat has been signed. (didn't come to work)"
21,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบพบ ข้อ1.1 Permit Requester ลงชื่อนายก่อเกียรติ (ผู้ขออนุญาต) ไม่ได้เข้าทำงาน
ข้อ 3 Permit Requester ลงชื่อนายดำรงเกียรติ ในการขอเปิดงาน 
เอกสาร Safe Work Certificate และ JSA ในเอกสารลงชื่อนายก่อเกียรติ ผู้ขออนุญาต เพราะเอกสาร Safe Work Checklist จะต้องมีการตรวจสอบที่หน้างานก่อนเริ่มทำงานเพื่อความปลอดภัย คนที่ลงชื่อไว้ไม่ได้เข้ามาทำงาน","Found Article 1.1 Permit Requester signed Mr. Korkiat (Applicant) did not come to work.
Article 3 Permit Requester signed by Mr. Damrongkiat in requesting a job opening
Safe Work Certificate and JSA document in the document signed by Mr. Korkiat, who asked for permission because the Safe Work Checklist document must be checked at the job site before starting work for safety. The person who signed it did not come to work."
22,PP1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบการล้อมพื้นที่ Generator มีการล้อมพื้นที่เรียบร้อยมีทางเข้า-ออก ชัดเจน พบไม่ติด TAG BARRICADE ,Check that the generator area has been surrounded. The area has been enclosed neatly with clear entrance and exit. TAG BARRICADE is not found.
23,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ Mask ช่างเชื่อม ตัว Body หมดอายุมีการใช้งานเกิน 5 ปี,The mask is found by the welder. The body has expired and has been used for more than 5 years.
24,PP1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Safety Lead ควบคุมงานตั้งนั่งร้านเอกสารมีระบุการทำงานบนที่สูง ของตรวจสอบบัตร Safety Lead พบ การสอบขึ้นทะเบียน Working at Height Work หมดอายุ (สอบจาก S#3) ,"Safety Lead was found to control the work of setting up scaffolding documents, indicating working at heights. Safety Lead card inspection found Working at Height Work registration exam expired (Exam from S#3)"
25,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบคู่ร่วมธุรกิจบริษัท HHP ทำการเจียร Support พบ Grinder ขนาด 4 นิ้ว ไม่สวมใส่ Handle ขณะปฏิบัติงาน,Found a business partner of HHP company grinding Support. Found a 4-inch Grinder. Handle is not worn while working.
26,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ JSA คู่ร่วมธุรกิจบริษัท HDS พบขาดการประเมินงาน Water Jet (รูปแนบ),"Check JSA, HDS business partner, found a lack of assessment of water jet work (attached picture)."
27,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ Work Permit เอกสารแนบงานที่เกี่ยวกับแรงดันสูง,"Check the Work Permit, the high-pressure work attachment."
28,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบไม่พบเอกสาร งานที่เกี่ยวแรงดันสูงแนบ,Check that the document could not be found. work related to high pressure
29,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบพบเอกสารแนบ Safe Work Certificate การปิดกั้นป้องกันลูกไฟ
 (Hot Work) Fire Watch ไม่ลงข้อมูลในส่วนที่ 3 (การเฝ้าระวังหลังเสร็จสิ้นการปฏิบัติงาน)ช่วงเช้า","The Safe Work Certificate attachment was detected, blocking fireball protection.
 (Hot Work) Fire Watch does not post information in part 3 (surveillance after work completion) in the morning."
30,PP1,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบพบ JSA มีการประเมินการทำงานครบถ้วนแต่ไม่พบการลงชื่อ 
ข้อที่ 3 (ผู้วิเคราะห์ JSA)
ข้อที่ 4 (ผู้ขออนุญาต - Permit Requester)","The JSA was found to have a full functional assessment, but no signings were found.
Article 3 (JSA Analyst)
Article 4 (Permit Requester)"
31,PP1,Unknown,Unknown,Unsafe Action,Unknown,Field verify ลงชื่อล่วงหน้าก่อนที่จะทำการ JSA talk,Field verify pre-signed before JSA talk
32,Pilot plant complex,Unknown,Unknown,Unsafe Action,Unknown,ไม่ประเมินการตัดแยกระบบ และการทำงานใกล้ source รังสี,Not assessing system segregation and working near source radiation
33,PP3,Unknown,Unknown,Unsafe Action,Unknown,Permit Approver ไม่ตรงกับลักษณะงาน โฟร์แมนอนุมัติแทน ผู้จัดการแผนก ในงานHW class II,Permit Approver does not match job description Foreman approves instead. Department Manager at HW class II event
34,PP1,Unknown,Unknown,Unsafe Condition,Unknown,Spark arrester ที่ครอบปลายท่อไอเสียเครื่องยนต์ของเครื่อง Water jet ขาดชำรุดไม่อยู่ในสภาพพร้อมใช้งาน,The spark arrester that covers the exhaust pipe of the water jet engine is torn and is not in a ready-to-use condition.
35,PP1,Unknown,Unknown,Unsafe Action,Unknown,คู่ธุรกิจ บริษัท Protech ขึ้นไปบนนั่งร้านที่มีความสูงมากกว่า 1.8 เมตรเพื่อรื้ิอ Insulation ไม่สวมใส่ Harness ป้องกันการตก,"Protech Business Partners go up on scaffolding with a height of more than 1.8 meters to dismantle the insulation, do not wear the harness to prevent falling."
36,HDPE4,Unknown,Unknown,Unsafe Action,Unknown,มีงานทาสี และใช้ทินเนอร์ แต่ไม่ระบุ PPE เรื่องการใช้อุปกรณ์ป้องกันหายใจตามลักษณะงาน,"There is paint and thinner work, but PPE is not specified on the use of respirators according to the nature of the work."
37,PP1,Unknown,Unknown,Unsafe Condition,Unknown,มีถัง Catalyst ที่สารไวไฟวางอยู่ตรงจุดที่มีงานตัดเชื่อม,There is a catalyst tank where flammable substances are placed at the welding site.
38,PP1,Unknown,Unknown,Unsafe Condition,Unknown,ไม่ควมคุมพื้นที่ให้อยู่ในสภาพทีปลอดภัย ยังมีวัสดุติดไฟอยู่ในพื้นที่,Do not control the area to be in a safe condition. There are still flammable materials in the area.
39,GA Site1,Unknown,Unknown,Unsafe Condition,Unknown,บริเวณที่พักของคู่ธุรกิจงาน Shut down PP พื้นทางเดินมีน้ำทำให้พื้นแฉะ ,"The accommodation area of ​​the business partner, Shut down PP, the walkway has water, causing the floor to be wet."
40,PP3,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบจากสำเนาworkpermit ที่ประตูD3 พบว่า Permit Requestor & safety lead เซ็นชื่อรับรองความปลอดภัยหน้างาน ในข้อ 3 ก่อนเข้าไปถึงหน้างานจริง ,"Checking from the copy of the work permit at door D3, it was found that the Permit Requestor & safety lead signed the safety certificate on the site in item 3 before entering the actual site."
41,PP3,Unknown,Unknown,Unsafe Action,Unknown,- ตรวจสอบจากสำเนาworkpermit ที่ประตูD3 พบว่า Permit Requestor & safety lead เซ็นชื่อรับรองความปลอดภัยหน้างาน ข้อ 3 ก่อนเข้าไปถึงหน้างานจริง ,"- Checked from the copy of the work permit at door D3, it was found that the Permit Requestor & safety lead signed the safety certificate on the site, item 3 before entering the actual site."
42,Bagging Site7,Unknown,Unknown,Unsafe Action,Unknown,Permit Requestor และ safety lead ไม่ได้เซ็นชื่อรับรองความปลอดภัยหน้างาน ข้อ 3,The Permit Requestor and safety lead are not signed on-site safety certificate. Item 3
43,Pilot plant complex,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีเอกสาร Health check แนบกับwork permit,There is no health check document attached to the work permit.
44,QA&QC Site7,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ 5ส. พบถุงมือที่ใช้แล้ววางทิ้งไว้ไม่จัดเก็บ/ กล่องใส่ขวดทดลองวางไม่เป็นระเบียบ /ขวดน้ำกลั่นวางเป็นเครื่องไฟฟ้าไม่ปิดฝา / มีสิ่งกีดขวางเครื่องดับเพลิง,"Check 5S. Found used gloves left unattended/bottle box untidy. / The distilled water bottle is placed as an electric machine, does not cover the lid / There is a fire extinguisher obstruction."
45,HDPE2,Unknown,Unknown,Unsafe Condition,Unknown,"ตรวจสอบ บริเวณจุดตั้งเครื่อง Water Jet พบท่อครอบไอเสียเครื่องหลุดร่วงลงมาด้านล่าง 
","Check at the water jet stand area, found that the exhaust hood has fallen downwards."
46,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบเอกสารแนบไม่ครบถ้วนอ้างอิงเอกสาร Safe Work Certificate SE-F-0273 Rev.001 ข้อ 2.1รายชื่อ 4 ผู้ มีระบุแต่เอกสาร Cer.ผ่านอบรมของคนขับ Crane ไม่มีแนบ,"Inspected incomplete attachments, referring to Safe Work Certificate SE-F-0273 Rev.001, Clause 2.1, list of 4 persons, only specified documents. Cer. passed the training of the crane driver, not attached."
47,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบเอกสารแนบไม่ครบถ้วนอ้างอิงเอกสาร Safe Work Certificate SE-F-0273 Rev.001 ข้อ 2.1 รายชื่อ 4ผู้ มีระบุแต่เอกสาร Cer.ผ่านการอบรมคนขับ Crane ไม่มีแนบ,"Inspected incomplete attachments, referring to Safe Work Certificate SE-F-0273 Rev.001 item 2.1, list of 4 persons, only specified documents. Cer. Trained Crane Driver, not attached"
48,PP1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบงานถอด Control Valve พบการใช้ Sling ผ้า ยกโดยใช้ขนาดที่ยาวเกินไปและทำการผู้มัดเป็นปมและเป็นจุดที่รับแรงอาจจะทำไม้Slinf ผ้าเสียหายหรือขาดได้ อาจจะทำอันตรายต่อบุคคลที่กำลังปฏิบัติงานได้,Check for removal work. Control Valve. Found using fabric sling. Lifting using too long and tying into knots and being the point of force may make slinf. The fabric can be damaged or torn. May harm the person who is working
49,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบเอกสาร Safe Work Certificate ไม่มีการตรวจสอบโดย Permit Requester (มีการทำงานแล้ว),The Safe Work Certificate document was found not checked by the Permit Requester (running already).
50,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ JSA ขาดการประเมินความเสี่ยงในงานการทำงานบนที่สูง,JSA found a lack of risk assessment in working at height.
51,Warehouse Site 3,Unknown,Unknown,Unsafe Action,Unknown,พบถังสีที่ใช้งานหมดแล้วไม่มีการจัดเก็บในภาชนะ และ ไม่มีป้ายบ่งชี้จุดจัดวาง,Found a depleted paint vat not being stored in a container and without a label indicating its placement.
52,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ JSA ขาดการประเมินความเสี่ยงในงานการทำงานบนที่สูง (มีการปฏิบัติงานแล้ว)และทำการประเมิน JSA ในช่องตำแหน่งและพื้นที่ในการทำงาน หัวข้อที่ 5,JSA found a lack of risk assessment in working at height. (Operated) and assess the JSA in the position and area of ​​work section 5.
53,Warehouse Site 3,Unknown,Unknown,Unsafe Action,Unknown,"จุดที่มีการใช้งานหรือจัดเก็บสารเคมี ไม่มี SDS , Diamond sign","Points of use or storage of chemicals, no SDS, Diamond sign."
54,Store Site3,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ 5ส. พบรถจักรยานที่ไม่ใช้งานแล้วจอดทิ้งไว้ข้าง Line น้ำดับเพลิง'และ บนหลังตู้ระบบอุปกรณ์ฉุกเฉิน ,Check 5S. Found an unused bicycle parked beside the fire water line' and on the back of the emergency equipment cabinet
55,PP3,Unknown,Unknown,Unsafe Action,Unknown,- ตรวจสอบจากสำเนาworkpermit ที่ประตูD3 พบว่า Permit Requestor & safety lead เซ็นชื่อรับรองความปลอดภัยหน้างาน ข้อ 3 ก่อนเข้าไปถึงหน้างานจริง ,"- Checked from the copy of the work permit at door D3, it was found that the Permit Requestor & safety lead signed the safety certificate on the site, item 3 before entering the actual site."
56,HDPE4,Unknown,Unknown,-,Unknown,#NAME?,#NAME?
57,Store Site7,Unknown,Unknown,-,Unknown,#NAME?,#NAME?
58,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,พบทีมงานทำงาน PT แนวเชื่อม E-3712 ไม่สวมใส่อุปกรณ์ป้องกันทางเดินหายใจตามมาตรการกำหนด,The team working at PT welding E-3712 did not wear respiratory protection according to the prescribed measures.
59,PP1,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบพบ JSA ในหัวข้อที่ 5 พบมีการติ๊กข้อมูล ทางเข้า-ออก และ ตำแหน่งในการทำงาน ในข้อ 5.1 พื้นที่ทำงานคับแคบ/ต้องปีนข้าม
5.2 พื้นที่ปฏิบัติงานคับแคบ/ต้องก้มเงย 
มีการติ๊กข้อมูลดังกล่าวแต่ไม่ประเมิน JSA เพิ่ม","JSA found in section 5, information, entrance-exit, and work location are ticked in item 5.1. Work area is cramped/must be climbed.
5.2 The work area is cramped/must be tilted up.
The data is ticked, but the JSA is not evaluated further."
60,PP1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบการทำงานทีม Instrument บริษัท Forword กำลังติดตั้งอุปกรณ์พบ JSA ขาดประตรวจสอบโดย Safety Lead,"Investigate the work of the Instrument team, Forword Company is installing the equipment, found the missing JSA, inspected by Safety Lead."
61,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ Work Permit เปิดงานเป็น งานทั่วไป พบการปฏิบัติงานจริงเป็นงานยกโดย Crane 70 Ton ตาม Permit to work ควรที่เปิดเป็นงาน H/W Class II ,"Detected Work Permit, opened as general work, found that the actual operation was lifted by Crane 70 Ton according to Permit to work, should be opened as H/W Class II"
62,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบ JSA พบมีการประเมินเรื่องงานทาสี พบมีการประเมินเรื่องการใช้ Mask 6003 ในการปฏิบัติงานทาสี 
พบคู่ร่วมธุรกิจกำลังทาสรไม่สวมใส่ Mask 6003 ตามที่ระบุใน JSA (สวมใส่เป็นผ้าปิดหน้าเท่านั้น","Inspect the JSA found that there was an assessment of the paint job. There was an assessment of the use of Mask 6003 in painting work.
A business partner was found not wearing Mask 6003 as specified in the JSA (worn as a face mask only."
63,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ไม่สวมใส่อุปกรณ์ที่ระบุใน JSA ให้ครบถ้วน,Do not wear all the equipment specified in the JSA.
64,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,พบมีการทำงานบนที่สูงพบคู่ร่วมธุรกิจออกนอกนั่งร้านและยืนทำงานบน Pipe นั่งร้าน แต่สวมใส่ Safety Harness และคล้องเกี่ยว (ผิดข้อกำหนดในการทำงานบนนั่งร้าน),"Found working at height, found business partner out of scaffolding and standing working on pipe scaffolding, but wearing Safety Harness and hook. (Failure to work on scaffolding)"
65,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,พบถัง SCBA ที่เป็นอุปกรณ์ของทีม Rescue ไม่ผ่านการตรวจสภาพ,The rescue team's SCBA tank was found unchecked.
66,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสาร Safe Work Certificate SE-F-0286 Rev.002 หัวข้อที่ 5 มีการติ๊กข้อมูลว่าผ่าน โดยข้อมูลไม่ตรงกับหน้างาน ควรติ๊กว่าไม่เกี่ยวข้อง,Check Document Safe Work Certificate SE-F-0286 Rev.002 Section 5 has a tick as passed. The information does not match the job page. It should be ticked as irrelevant.
67,PP1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ JSA ขาดการตรวจสอบโดย Safety Lead ในงานบนที่สูง โดย JSA มีระบุครบแต่ขาดการประเมินก่อนเริ่มทำงาน,It was found that the JSA lacked safety lead audits in the work at height.
68,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบเอกสาร Safe Work Certificate SE-F-0286 Rev.002 ตรวจสอบพบข้อที่ 5 มีการตรวจสอบไม่ตรงกับหน้างานและมีการติ๊กข้อมูลที่ผ่านการตรวจสอบ (ที่ถูกควรติ๊กข้อมูลในช่องที่ไม่เกี่ยวข้อง),"Document found Safe Work Certificate SE-F-0286 Rev.002 Checked item 5, there is a check that doesn't match the job site and the checked data is ticked. (That's right, tick the information in the irrelevant box)."
69,Bagging Site1,Unknown,Unknown,Unsafe Action,Unknown,ไม่สวม? ppe.ถุงมือป้องกันการบาดเจ็บ,don't wear it? ppe. protective gloves
70,HDPE4,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบJSA ไม่มีการประเมินความเสี่ยงเรื่อง การถอดประกอบPIPE & safety valve,JSA audit does not have a risk assessment subject matter. PIPE & safety valve disassembly
71,HDPE2,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจพบ อุปกรณ์พัดลม Blower  ที่นำมาใช้งานไม่ผ่านการตรวจสภาพ,A blower fan device that has been used has not been inspected.
72,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ JSA พบ Safety Lead ไม่ตรวจสอบมาตราการหน้างาน,"Check JSA, found Safety Lead, didn't check the scale on the jobsite."
73,PP1,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบ Safe Work Certificate พบการทำงานที่ไม่ตรงกับเอกสารที่ตรวจสอบ
- ข้อที่ 5,9,10,11 ตรวจสอบแบบไม่ได้อ่านข้อมูลในเอกสาร
 ","Safe Work Certificate checks, found actions that don't match the checked documents.
- Articles 5,9,10,11 check without reading the information in the document."
74,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสาร Safe Work Certificate มีการตรวจสอบในหัวข้อที่ 5 ซึ่งไม่ตรงกับจุดทำงานจริง,Check the Safe Work Certificate document. There is an audit in Section 5 that does not match the actual work point.
75,PP1,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบเอกสาร JSA พบขาดการประเมินในหัวข้อที่ 5 
5.1,5.2 
มีการปฏิบัติงานแล้ว","Check the JSA document, find the lack of assessment in section 5.
5.1,5.2
already in operation"
76,PP1,Unknown,Unknown,Unsafe Action,Unknown,ไม่ลงข้อมูลใน JSA ช่อง 6.1 ตรวจสอบมาตรการหน้างาน,Do not enter information in JSA channel 6.1. Check the measures on the job site.
77,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสาร Safe Work Certificate การปิดกั้นป้องกันลูกไฟหรือสะเก็ดไฟ ไม่พบผลการตรจสอบ,"Check Safe Work Certificate documents, blocking fireballs or sparks. No results found"
78,PP1,Unknown,Unknown,Unsafe Action,Unknown,ยังขาดการควบคุมหน้างานยังไม่ดี เนื่องจากพบว่ามีการขึ้นบนนั่งร้าน แต่ไม่ได้สวมใส่ Harness อุปกรณ์ป้องกันการตก,Still lack of control over the work is not good. because it was found on the scaffolding But do not wear the harness to prevent fall.
79,PP1,Unknown,Unknown,Unsafe Action,Unknown,มีเอกสารการทำงานบนที่สูงแนบมากับ work permit แต่ไม่ลงข้อมูลในเอกสาร,"There is a document to work at height attached to the work permit, but do not enter the information in the document."
80,PP1,Unknown,Unknown,Unsafe Action,Unknown,ไม่สวมใส่ Harness เมื่อขึ้นบนนั่งร้าน,Do not wear harness when riding on scaffolding.
81,PP1,Unknown,Unknown,Unsafe Action,Unknown,ไม่สวมใส่ Harness กันตก,Do not wear a fall protection harness
82,HDPE4,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ JSA พบว่าไม่ได้ประเมินความเสี่ยงเกี่ยวกับการใช้เลื่อยไฟฟ้า ที่นำมาใช้งานที่หน้างาน,A review of the JSA found that the risks associated with the use of chainsaws were not assessed. used at the job site
83,PP1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Pressure Regulator ยังไม่ผ่านการตรวจสอบก่อนนมาใช้งาน,Check that Pressure Regulator has not been inspected before use.
84,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบนั่งร้านใช้ Tag เขียว แต่หมดอายุการใช้ ,"Check that the scaffolding is using Green Tag, but it has expired."
85,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบเอกสาร Safe Work Certificate งานยก พบไม่มีการคำนวณในเอกสารให้ครบถ้วน(มีการปฏิบัติงานแล้ว),Inspect the Safe Work Certificate document. Lifting work. Found that there is no complete calculation in the document (work has been done).
86,Ware house Site7,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจพบสิ่งของวางไม่เป็นระเบียบ ไม่ถูกต้องตามหลัก 5 ส.,Detected disorganized items Not correct according to the 5 S.
