FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Frequency,CleansingFinding,TranslateFinding
159,Catalyst&Pilot plant,-,-,Unsafe Condition,Hot Work,ตรวจสอบพบตู้เชื่อมมีการตรวจสอบเรียบร้อยแต่สภาพไม่พร้อมใช้งานโดยสายไฟหลังตู้มีการหลุดออกจากเต้าไฟ และ Regulator ยังไม่ผ่านการตรวจสอบและออกสติกเกอร์ของเดือนกรกฏาคม,2,ตรวจสอบพบตู้เชื่อมมีการตรวจสอบเรียบร้อยแต่สภาพไม่พร้อมใช้งานโดยสายไฟหลังตู้มีการหลุดออกจากเต้าไฟ และ regulator ยังไม่ผ่านการตรวจสอบและออกสติกเกอร์ของเดือนกรกฏาคม,"Found that the welding cabinet has been inspected, but the condition is not ready to use, with the wires behind the cabinet being disconnected from the socket and the regulator has not yet been inspected and issued a July sticker."
226,PP1,-,-,Unsafe Condition,Process & Operation,ตรวจสอบเอกสาร Safe Work Certificate SE-F-0286 Rev.002 หัวข้อที่ 5 มีการติ๊กข้อมูลว่าผ่าน โดยข้อมูลไม่ตรงกับหน้างาน ควรติ๊กว่าไม่เกี่ยวข้อง,41,ตรวจสอบเอกสาร safe work certificate se-f-0286 rev.002 หัวข้อที่ 5 มีการติ๊กข้อมูลว่าผ่าน โดยข้อมูลไม่ตรงกับหน้างาน ควรติ๊กว่าไม่เกี่ยวข้อง,"Check the document safe work certificate se-f-0286 rev.002 Section 5, there is a check mark that passes. where the information does not match the job page should be ticked as irrelevant"
732,PP1,-,-,Unsafe Condition,PPE,ตรวจสอบพบ Safe Work Certificate SE-F-0286_Rev.002 พบขาดการตรวจสอบเอกสาร ,34,ตรวจสอบพบ safe work certificate se-f-0286_rev.002 พบขาดการตรวจสอบเอกสาร,found safe work certificate se-f-0286_rev.002 Found a lack of verification of documents.
358,Catalyst&Pilot plant,-,-,Unsafe Condition,Work Procedure,ตรวจสอบพบงานมาสี คู่ร่วมธุรกิจไม่ปฏิบัติตามมาตราการ JSA โดยไม่สวมใส่ MASK ป้องกันกลิ่นและไม่สวมใส่ถุงมือและไม่มีแว่นตาครอบแว่นสายตา,15,ตรวจสอบพบงานมาสี คู่ร่วมธุรกิจไม่ปฏิบัติตามมาตราการ jsa โดยไม่สวมใส่ mask ป้องกันกลิ่นและไม่สวมใส่ถุงมือและไม่มีแว่นตาครอบแว่นสายตา,Verify that the work has come in color. Business partners do not comply with jsa regulations without wearing anti-odor masks and without wearing gloves and without goggles.
363,HDPE1,-,-,Unsafe Condition,Work at height,ตรวจสอบพบ คู่ร่วมธุรกิจ TSP ขัดพื้น พบไม่สวมใส่ PPE ตามที่ Permit To Work และ JSA กำหนด MASK แว่นตา ป้องกันอันตรยจากการทำงาน,2,ตรวจสอบพบ คู่ร่วมธุรกิจ tsp ขัดพื้น พบไม่สวมใส่ ppe ตามที่ permit to work และ jsa กำหนด mask แว่นตา ป้องกันอันตรยจากการทำงาน,"Checked that the tsp business partner scrubbed the floor and found that he did not wear PPE as per the permit to work and the jsa prescribed a mask, glasses to prevent work hazards."
537,HDPE2,-,-,Unsafe Condition,Water jet,ใน JSA มีการประเมินที่ไม่ครอบคลุม เนื่องจากไม่มีการประเมินเกี่ยวกับทำงานที่สูง และ เครื่อง Water Jet ที่เป็นอุปกรณ์ไฟฟ้า,31,ใน jsa มีการประเมินที่ไม่ครอบคลุม เนื่องจากไม่มีการประเมินเกี่ยวกับทำงานที่สูง และ เครื่อง water jet ที่เป็นอุปกรณ์ไฟฟ้า,In jsa there is a non comprehensive evaluation. Because there is no assessment of work height and water jet equipment that is electrical equipment.
19,HDPE1,-,-,Unsafe Condition,Housekeeping,ตรวจสอบไม่พบเอกสาร งานที่เกี่ยวแรงดันสูงแนบ,2,ตรวจสอบไม่พบเอกสาร งานที่เกี่ยวแรงดันสูงแนบ,Can't find a document work that involves high pressure attached
21,HDPE3,-,-,-,-,ประเมินไม่ครอบคลุม,1,ประเมินไม่ครอบคลุม,Assessment does not cover
667,HDPE3,-,-,Unsafe Condition,SL Performance,ไม่พบเอกสาร WAH,6,ไม่พบเอกสาร wah,wah document not found
337,HDPE2,-,-,Unsafe Condition,Hot Work,ไม่มีการปิดกั้นพื้นที่ขณะปฎิบัติงาน,1,ไม่มีการปิดกั้นพื้นที่ขณะปฎิบัติงาน,There is no blocking area while working.
175,Warehouse Site 3,-,-,Unsafe Condition,Electrical & Grounding,ตรวจสอบไม่พบเอกสารการตรวจร่างกายเบื้องต้น ,20,ตรวจสอบไม่พบเอกสารการตรวจร่างกายเบื้องต้น,The preliminary physical examination document was not found.
262,PP1,-,-,Unsafe Condition,-,มีเอกสารการทำงานบนที่สูงแนบมากับ work permit แต่ไม่ลงข้อมูลในเอกสาร,43,มีเอกสารการทำงานบนที่สูงแนบมากับ work permit แต่ไม่ลงข้อมูลในเอกสาร,"There is a document for working at height attached to the work permit, but no information is entered in the document."
576,LDPE,-,-,Unsafe Condition,Water jet,ไม่ลงข้อมูล no. กุญแจ simple lock ใน work permit,13,ไม่ลงข้อมูล no. กุญแจ simple lock ใน work permit,Do not enter information no. key simple lock in work permit
759,Store Site7,-,-,Unsafe Condition,-,มีการทำงานบนที่สูง ผู้ขออนุญาตไม่ได้เลือกCertificate WAH และ PPE ไม่ได้ระบุอุปกรณ์ป้องกันการตก,10,มีการทำงานบนที่สูง ผู้ขออนุญาตไม่ได้เลือกcertificate wah และ ppe ไม่ได้ระบุอุปกรณ์ป้องกันการตก,working at height Applicant did not select certificate wah and ppe did not specify fall protection device.
202,PP1,-,-,Unsafe Condition,Process & Operation,"ตรวจสอบพบ JSA ในหัวข้อที่ 5 พบมีการติ๊กข้อมูล ทางเข้า-ออก และ ตำแหน่งในการทำงาน ในข้อ 5.1 พื้นที่ทำงานคับแคบ/ต้องปีนข้าม
5.2 พื้นที่ปฏิบัติงานคับแคบ/ต้องก้มเงย 
มีการติ๊กข้อมูลดังกล่าวแต่ไม่ประเมิน JSA เพิ่ม",9,"ตรวจสอบพบ jsa ในหัวข้อที่ 5 พบมีการติ๊กข้อมูล ทางเข้า-ออก และ ตำแหน่งในการทำงาน ในข้อ 5.1 พื้นที่ทำงานคับแคบ/ต้องปีนข้าม
5.2 พื้นที่ปฏิบัติงานคับแคบ/ต้องก้มเงย 
มีการติ๊กข้อมูลดังกล่าวแต่ไม่ประเมิน jsa เพิ่ม","Check found jsa in topic 5, found a tick for entrance-exit information and working position in item 5.1, the working area is confined/must climb over.
5.2 Narrow work spaces/need to tilt
The information is ticked but the jsa is not evaluated."
257,PP1,-,-,Unsafe Condition,-,ตรวจสอบเอกสาร Safe Work Certificate การปิดกั้นป้องกันลูกไฟหรือสะเก็ดไฟ ไม่พบผลการตรจสอบ,1,ตรวจสอบเอกสาร safe work certificate การปิดกั้นป้องกันลูกไฟหรือสะเก็ดไฟ ไม่พบผลการตรจสอบ,Check the safe work certificate documents Blocking prevents fireballs or sparks. No result found
2573,TFU,TK-1010B,MOC (SD),Unsafe Condition,Environmental,สารเคมีหกตามรางระบายน้ำและพื้นจุดขนย้ายถัง,1,สารเคมีหกตามรางระบายน้ำและพื้นจุดขนย้ายถัง,Chemical spills along drains and tank transfer floors.
527,PP1,-,-,Unsafe Condition,SL Performance,ตรวจสอบพบจุดต่อ Argon เข้าเครื่องเชื่อมไม่ใช้ เข็มขัดรัดสาย,1,ตรวจสอบพบจุดต่อ argon เข้าเครื่องเชื่อมไม่ใช้ เข็มขัดรัดสาย,Check that the argon connection point to the welding machine is not used. strap belt
488,PP2,-,-,Unsafe Condition,PTW & JSA,"ตรวจสอบ JSA พบขาดการวิเคราะห์ในหัวข้อที่ 5 และ 5.1,5.2 และพบ Permit Requester และ File VerIfier ยังไม่เซ็นเอกสารตรวจสอบมาตราการ",45,"ตรวจสอบ jsa พบขาดการวิเคราะห์ในหัวข้อที่ 5 และ 5.1 , 5.2 และพบ permit requester และ file verifier ยังไม่เซ็นเอกสารตรวจสอบมาตราการ","Checking jsa found that there was a lack of analysis in sections 5 and 5.1, 5.2 and found that the permit requester and file verifier had not yet signed the inspection document."
838,LLDPE,-,-,Unsafe Condition,PPE,ประเมิน jsaไม่ครอบคลุม,30,ประเมิน jsaไม่ครอบคลุม,Evaluate jsa is not comprehensive.
494,HDPE4,-,-,Unsafe Condition,-,พบว่าพนักงานผู้ขออนุญาต และเป็น safety lead ควบคุมงานด้วย จากการสอบถามพนักงานและขอดูบัตร safety lead พบว่ายังไม่มีบัตรเพราะไม่ได้ขึ้นทะเบียนsafety lead ,4,พบว่าพนักงานผู้ขออนุญาต และเป็น safety lead ควบคุมงานด้วย จากการสอบถามพนักงานและขอดูบัตร safety lead พบว่ายังไม่มีบัตรเพราะไม่ได้ขึ้นทะเบียนsafety lead,"It was found that the employee who applied for permission and was a safety lead also supervised the work. From asking the staff and asking to see the safety lead card, it was found that there was no card because the safety lead was not registered."
24,HDPE3,-,-,Unsafe Condition,-,ไม่พบเอกสารการบึนทึกผลร่างการเบื้องต้นก่อนเริ่มงาน,1,ไม่พบเอกสารการบึนทึกผลร่างการเบื้องต้นก่อนเริ่มงาน,Documents were not found to record preliminary draft results before starting work.
439,PP2,-,-,Unsafe Condition,Work Procedure,ตรวจสอบพบ Safe Work Certificate SE-F-0213 Rev.004 แบบฟอร์มการวางแผนการยก ลงข้อมูลไม่ครบถ้วน ขาดการวางแผน ในงานยก,10,ตรวจสอบพบ safe work certificate se-f-0213 rev.004 แบบฟอร์มการวางแผนการยก ลงข้อมูลไม่ครบถ้วน ขาดการวางแผน ในงานยก,"detect safe work certificate se-f-0213 rev.004 lift planning form Incomplete information, lack of planning in lifting work"
37,PP1,-,-,Unsafe Condition,Lifting,Field verify ลงชื่อล่วงหน้าก่อนที่จะทำการ JSA talk,1,field verify ลงชื่อล่วงหน้าก่อนที่จะทำการ jsa talk,field verify pre-sign before jsa talk
109,PP2,-,-,Unsafe Condition,SL Performance,ตรวจสอบพบ JSA ขาดการประเมินในหัวข้อที่ 5 ,70,ตรวจสอบพบ jsa ขาดการประเมินในหัวข้อที่ 5,Check found jsa missing evaluation in section 5.
40,PP3,-,-,Unsafe Condition,-,ผู้ขออนุญาตไม่ระบุชนิดPPE ป้องกันหายใจที่ชัดเจน กับลักษณะงานที่ทำ เรื่องประเมินความเสี่ยงการทำงานกับน้ำยา PT ซึ่งเป็นสารเคมี ,11,ผู้ขออนุญาตไม่ระบุชนิดppe ป้องกันหายใจที่ชัดเจน กับลักษณะงานที่ทำ เรื่องประเมินความเสี่ยงการทำงานกับน้ำยา pt ซึ่งเป็นสารเคมี,The applicant does not specify the type of ppe. clear breathing protection with the nature of work On the risk assessment of working with pt reagents which are chemicals
805,PP1,-,-,Unsafe Condition,PTW & JSA,งาน PT TEST SILO ตรวจสอบพบ MASK ในงาน PT TEST อยู่ในสถาพไม่พร้อมใช้งาน (หมดอายุ) สภาพพลาสติกและยางเริ่มเหนียว พบมีการใช้งานมาแล้วเกือบ 8 ปี และไม่มีการบำรุงรักษา,7,งาน pt test silo ตรวจสอบพบ mask ในงาน pt test อยู่ในสถาพไม่พร้อมใช้งาน หมดอายุ สภาพพลาสติกและยางเริ่มเหนียว พบมีการใช้งานมาแล้วเกือบ 8 ปี และไม่มีการบำรุงรักษา,"The pt test silo found that the mask in the pt test was in an unusable condition, expired, and the condition of plastic and rubber became sticky. It has been used for almost 8 years and has no maintenance."
79,HDPE3,-,-,Unsafe Condition,-,พบมีการขีดช่อง Simple Lock แต่ไม่มีลงรายละเอียดนัมเบอร์อุปกรณ์,6,พบมีการขีดช่อง simple lock แต่ไม่มีลงรายละเอียดนัมเบอร์อุปกรณ์,"Found a simple lock box, but no details of the device number."
99,CPD Pipe Site3,-,-,Unsafe Condition,Safety Management,"ประเเมิน JSA ไม่ครอบคลุม
 เนื่องจากพบมีการสาวรอกด้านบนแต่ใน JSA ไม่มีประเมินการทำงานที่สูงและ มาตรการป้องกัน",22,"ประเเมิน jsa ไม่ครอบคลุม
 เนื่องจากพบมีการสาวรอกด้านบนแต่ใน jsa ไม่มีประเมินการทำงานที่สูงและ มาตรการป้องกัน","Evaluate jsa not comprehensive
 because it is found that there is a hoist on the top but in jsa there is no evaluation of the high performance and preventive measure"
515,PP2,-,-,Unsafe Condition,-,งานประกอบหน้าแปลนผู้ปฏิบัติงานอยู่ในตำแหน่ง line of fire ถ้าค้อนหลุดมือจะโดนผู้ปฏิบัติงานที่อยู่ด้านตรงข้ามได้,1,งานประกอบหน้าแปลนผู้ปฏิบัติงานอยู่ในตำแหน่ง line of fire ถ้าค้อนหลุดมือจะโดนผู้ปฏิบัติงานที่อยู่ด้านตรงข้ามได้,"In flange assembly work, the worker is in line of fire position. If the hammer slips, it will hit the worker on the opposite side."
821,LLDPE,-,-,Unsafe Condition,-,ตรวจสอบ JSA พบขาดการตรวจสอบหน้างาน,37,ตรวจสอบ jsa พบขาดการตรวจสอบหน้างาน,Check jsa found missing job page validation.
46,Catalyst&Pilot plant,-,-,Unsafe Condition,-,ไม่ลงข้อมูลเวลาในช่อง JSA talk ,1,ไม่ลงข้อมูลเวลาในช่อง jsa talk,not posting time in jsa talk field
509,Catalyst&Pilot plant,-,-,Unsafe Condition,SL Performance,ตรวจสอบพบ Regulator ยังไม่ได้ตรวจสอบและออกสติกเกอร์,5,ตรวจสอบพบ regulator ยังไม่ได้ตรวจสอบและออกสติกเกอร์,The inspection found that the regulator has not yet inspected and issued a sticker.
173,HDPE4,-,-,Unsafe Condition,-,งานหุ้มInsulation แต่ผู้ขออนุญาตระบุPPE ป้องกันหายใจไม่สอดคล้องกับลักษณะงานที่ทำ,10,งานหุ้มinsulation แต่ผู้ขออนุญาตระบุppe ป้องกันหายใจไม่สอดคล้องกับลักษณะงานที่ทำ,insulation work but the applicant specifies the ppe Prevent breathing inconsistent with the nature of work.
651,HDPE4,-,-,Unsafe Condition,-,safety lead ไม่ตรวจสอบมาตรการที่หน้างาน แต่ได้เริ่มงานไปแล้ว,7,safety lead ไม่ตรวจสอบมาตรการที่หน้างาน แต่ได้เริ่มงานไปแล้ว,safety lead does not inspect measures at the job site but work has already begun
610,Warehouse Site 3,-,-,Unsafe Condition,Water jet,พบไม่มีการลงรายละเอียดในส่วยของการ Lock LOTO ใน Work Permit ซึ่งไม่ตรงกับเอกสาร JSA ที่กำหนดไว้,33,พบไม่มีการลงรายละเอียดในส่วยของการ lock loto ใน work permit ซึ่งไม่ตรงกับเอกสาร jsa ที่กำหนดไว้,There was no detailing in the lock loto attributes on the work permit which did not match the required jsa documentation.
51,Bagging Site3,-,-,-,Water jet,ไม่พบเอกสาร,1,ไม่พบเอกสาร,Document not found
54,Bagging Site3,-,-,Unsafe Condition,Water jet,ทราบแต่ไม่ได้ปฏิบัติตามมาตรการที่กำหนด,1,ทราบแต่ไม่ได้ปฏิบัติตามมาตรการที่กำหนด,known but did not comply with the specified measures
659,HDPE3,-,-,Unsafe Condition,Installation/ Alignment,มีการสวมใส่อุปกรณ์ป้องกันการตกแต่ไม่คล้องเกี่ยว,4,มีการสวมใส่อุปกรณ์ป้องกันการตกแต่ไม่คล้องเกี่ยว,Fall protection equipment is worn but not involved.
506,PP1,-,-,Unsafe Condition,Work at height,"ตรวจสอบ Safe Work Certificate Working at Height พบการประเมินหัวข้อ 10,11,12 โดยหน้างานไม่เกี่ยวข้อง ติ๊กข้อมูล ผ่าน",47,"ตรวจสอบ safe work certificate working at height พบการประเมินหัวข้อ 10 , 11 , 12 โดยหน้างานไม่เกี่ยวข้อง ติ๊กข้อมูล ผ่าน","Check the safe work certificate working at height. Assessment topics 10, 11, 12 are found. The work page is not relevant. Tick the pass information."
683,Bagging Site7,-,-,Unsafe Condition,-,มีการทำงานบนที่สูงเกิน 1.8 เมตร แต่ผู้ขออนุญาตไม่ได้ประเมินความเสี่ยงเรื่องการทำงานบนที่สูง,41,มีการทำงานบนที่สูงเกิน 1.8 เมตร แต่ผู้ขออนุญาตไม่ได้ประเมินความเสี่ยงเรื่องการทำงานบนที่สูง,"There is work at a height of more than 1.8 meters, but the applicant has not assessed the risk of working at height."
526,PP1,-,-,Unsafe Condition,Housekeeping,ตรวจสอบ Work Permit พบเอกสารแนบ แบบฟอร์มการวางแผนการยก (Lifting Plan)แต่ไม่ติ๊กข้อมูลใน Work Permit หัวข้อ 1.4,25,ตรวจสอบ work permit พบเอกสารแนบ แบบฟอร์มการวางแผนการยก lifting planแต่ไม่ติ๊กข้อมูลใน work permit หัวข้อ 1.4,"Check the work permit, find the attached lifting plan form, but uncheck the information in the work permit section 1.4."
315,Catalyst&Pilot plant,-,-,Unsafe Condition,Water jet,ตรวจสอบเอกสารพบ Safe Work Certificate SE-F-0286_Rev.002 (เก่า) ,45,ตรวจสอบเอกสารพบ safe work certificate se-f-0286_rev.002 เก่า,"Examine the document, found an old safe work certificate se-f-0286_rev.002."
60,Pilot plant complex,-,-,Unsafe Condition,SL Performance,ไม่ประเมินการตัดแยกระบบ และการทำงานใกล้ source รังสี,1,ไม่ประเมินการตัดแยกระบบ และการทำงานใกล้ source รังสี,Does not evaluate system decomposition and working near the source of radiation
536,PP3,-,-,Unsafe Condition,-,มีการทำงานบนที่สูงโดยใช้บันไดทรงเอ แต่ผู้ขออนุญาตไม่ได้แนบ WAH Certificate มากับ work permit,17,มีการทำงานบนที่สูงโดยใช้บันไดทรงเอ แต่ผู้ขออนุญาตไม่ได้แนบ wah certificate มากับ work permit,There is a work at height using an A-shaped ladder. but the applicant does not attach the wah certificate to the work permit
587,PP3,-,-,Unsafe Condition,Electrical & Grounding,ไม่ มีเอกสาร บันทึกผลการตรวจร่างกายผู้ปฏิบัติงานเบื้องต้นก่อนเริ่มทำงาน,21,ไม่ มีเอกสาร บันทึกผลการตรวจร่างกายผู้ปฏิบัติงานเบื้องต้นก่อนเริ่มทำงาน,No documents Record the results of the preliminary physical examination of the operators before starting work.
291,HDPE4,-,-,Unsafe Condition,-,ผู้ขออนุญาตเลือก Certificate ไม่ถูกต้องตามลักาณะงาน ซึ่งงานนี้ไม่ใช่ HW class I แต่ผู้ขออนุญาตเลือกCertificate งานที่มีความร้อนและประกายไฟ,6,ผู้ขออนุญาตเลือก certificate ไม่ถูกต้องตามลักาณะงาน ซึ่งงานนี้ไม่ใช่ hw class i แต่ผู้ขออนุญาตเลือกcertificate งานที่มีความร้อนและประกายไฟ,"The applicant chooses the wrong certificate according to the nature of work. This work is not hw class i, but the applicant chooses the certificate. work with heat and sparks"
176,Store Site7,-,-,Unsafe Condition,Hot Work,- Permit Approver ไม่ตรงกับลักษณะงาน ผู้จัดการแผนกอนุมัติงานHW class I,1,- permit approver ไม่ตรงกับลักษณะงาน ผู้จัดการแผนกอนุมัติงานhw class i,- permit approver does not match job description Department manager approves work hw class i
392,HDPE1,-,-,Unsafe Condition,-,ตรวจสอบพบ Work Permit มีงานบนที่สูง แต่ขาดการลงข้อมูลในหัวข้อที่ 4 งานบนที่สูง,44,ตรวจสอบพบ work permit มีงานบนที่สูง แต่ขาดการลงข้อมูลในหัวข้อที่ 4 งานบนที่สูง,Check that work permit is found. There is work at height. But lack of information in topic 4 work at height
712,PP1,-,-,Unsafe Condition,PPE,ตรวจสอบพบ Regulator มีการใช้งานแต่ยังไม่ได้ตรวจสอบออกสติกเกอร์ ,5,ตรวจสอบพบ regulator มีการใช้งานแต่ยังไม่ได้ตรวจสอบออกสติกเกอร์,Checked the regulator is active but haven't checked out the sticker.
905,Olefins2,E-S672A,SR,Unsafe Condition,Scaffolding,รื้อนั่งร้านโดยไม่ล้อมพื้นที่,156,รื้อนั่งร้านโดยไม่ล้อมพื้นที่,Dismantling scaffolding without enclosing the area
1617,UT,O-21,WTM,Unsafe Condition,Scaffolding,จุดยืนปฏิบัติงานมีลักษณะไม่มั่นคง/ ไม่ปลอดภัย เนื่องจากไม่มีแผ่นนั่งร้านสำหรับให้ยืนเต็มเท้า,28,จุดยืนปฏิบัติงานมีลักษณะไม่มั่นคง/ ไม่ปลอดภัย เนื่องจากไม่มีแผ่นนั่งร้านสำหรับให้ยืนเต็มเท้า,The work stand looks unstable/ unsafe as there is no scaffolding pad for full foot standing.
69,Ware house Site7,-,-,Unsafe Condition,Process & Operation,Field Verifier ไม่ใช่โฟร์แมน รับรองความปลอดภัยที่หน้างาน HW class I,1,field verifier ไม่ใช่โฟร์แมน รับรองความปลอดภัยที่หน้างาน hw class i,field verifier not foreman Certification of safety at the event site hw class i
70,PP2,-,-,Unsafe Condition,-,ตรวจสอบพบรถ HIAB ทำการยกก้อนพลาสติกพบการกางขาเพื่อค้ำยัน Balance ตัวรถไม่กางขาครบทั้งข้าง อันตราย,1,ตรวจสอบพบรถ hiab ทำการยกก้อนพลาสติกพบการกางขาเพื่อค้ำยัน balance ตัวรถไม่กางขาครบทั้งข้าง อันตราย,"Found a hiab car lifted a piece of plastic, found that the legs were spread to support the balance."
343,PP3,-,-,Unsafe Condition,-,เอกสารHealth check ยังเป็นฟอร์มเก่าไม่อัพเดท,4,เอกสารhealth check ยังเป็นฟอร์มเก่าไม่อัพเดท,"The health check document is still the old form, not updated."
752,PP2,-,-,Unsafe Condition,-,ตรวจสอบพบ MASK ตัวที่เป็นหน้ากากหมดอายุการใช้งานสภาพและเดือนและปีหมดอายุ,3,ตรวจสอบพบ mask ตัวที่เป็นหน้ากากหมดอายุการใช้งานสภาพและเดือนและปีหมดอายุ,"Check that the mask is expired mask, condition and expiration month and year."
3191,HOT,H-100F,RMS,Unsafe Condition,Housekeeping,"งานเจาะคว้านรู Tube Pass3,4 มีเศษเหล็กหล่นตามผ้าใบ อาจหล่นไปชั้นล่างได้ >> นำแผ่นนั่งร้านมาทำ Bund กันของตก",1,"งานเจาะคว้านรู tube pass3 , 4 มีเศษเหล็กหล่นตามผ้าใบ อาจหล่นไปชั้นล่างได้ >> นำแผ่นนั่งร้านมาทำ bund กันของตก","Hole drilling work tube pass 3 , 4 steel scraps fall along the canvas May fall to the lower floor >> bring the scaffolding sheet to make a bund to prevent things from falling"
314,Catalyst&Pilot plant,-,-,Unsafe Condition,Work Procedure,ตรวจสอบพบช่างเชื่อมขณะปฏิบัติงานเชื่อมไม่สวมใส่ MASK ป้องกันอันตรายจากฟูมงานเชื่อม (2097)ตามที่ JSA กำหนด,15,ตรวจสอบพบช่างเชื่อมขณะปฏิบัติงานเชื่อมไม่สวมใส่ mask ป้องกันอันตรายจากฟูมงานเชื่อม 2097ตามที่ jsa กำหนด,Found that the welder while working welding did not wear a mask to prevent danger from welding fume 2097 as specified by the jsa.
