No.,Details,Area,Contractor,TypeOfFinding,Topic,CleansingDetails,TransCleansingDetails
12,ข้อต่อ Coupling (งานกลึงหน้าแปลน) ไม่มีเทป double protection,Olefins2,RMS,Unsafe Condition,Installation/ Alignment,ข้อต่อ coupling (งานกลึงหน้าแปลน) ไม่มีเทป double protection,Coupling (flange turning) without tape double protection
13,"เครื่องเจียรในงานขัดหน้าแปลนไม่ได้ Inspect ประจำเดือนมกราคม, ใช้ Sticker เก่า",Olefins2,TTCL,Unsafe Condition,Tools & Equipment,"เครื่องเจียรในงานขัดหน้าแปลนไม่ได้ inspect ประจำเดือนมกราคม , ใช้ sticker เก่า","Grinding machine in flange polishing work, can't inspect January, use old sticker."
14,ทีมงานอยู่ใน Line of fire ขณะมีการยกท่อ,Olefins2,RMS,Unsafe Action,Lifting,ทีมงานอยู่ใน line of fire ขณะมีการยกท่อ,The crew is in the line of fire while the pipe is being lifted.
15,งาน Drain น้ำลง bund ไม่ได้ปิดล้อมพื้นที่ ป้องกันผู้ที่ไม่มีส่วนเกี่ยวข้องเข้าไปในบริเวณที่ปฏิบัติงาน,Olefins2,TTCL,Unsafe Condition,Chemical Work,งาน drain น้ำลง bund ไม่ได้ปิดล้อมพื้นที่ ป้องกันผู้ที่ไม่มีส่วนเกี่ยวข้องเข้าไปในบริเวณที่ปฏิบัติงาน,The low tide drain bund does not enclose the area. Prevent uninvolved people from entering the work area.
16,ช่องเปิดบนอาคาร ไม่มีการปิดกั้น Hard Barricade ซึ่งมีผู้ปฏิบัติงานเดินผ่านไปมา ,Olefins2,TTCL,Unsafe Condition,Work at height,ช่องเปิดบนอาคาร ไม่มีการปิดกั้น hard barricade ซึ่งมีผู้ปฏิบัติงานเดินผ่านไปมา,openings on buildings There is no hard barricade blocked by operators walking past.
17,เศษขยะจำนวนมากจากงานรื้อนั่งร้าน อุดอยู่ในร่อง,Olefins2,TTCL,Unsafe Condition,Housekeeping,เศษขยะจำนวนมากจากงานรื้อนั่งร้าน อุดอยู่ในร่อง,Lots of rubbish from scaffolding work. stuck in the groove
18,งาน HW I บนนั่งร้านสูง 4 เมตร มีสะเก็ดไฟหล่นลงมาตามทางเดินซึ่งไม่ได้ปิดล้อมพื้นที่ ,Olefins2,CAPK,Unsafe Condition,Hot Work,งาน hw i บนนั่งร้านสูง 4 เมตร มีสะเก็ดไฟหล่นลงมาตามทางเดินซึ่งไม่ได้ปิดล้อมพื้นที่,"Work hw i On a 4 meter high scaffold, sparks fell down a walkway that did not enclose the area."
19,นั่งร้านมีสภาพไม่สมบูรณ์ ถูกรื้อแผ่นกระดานออกและไม่มีบันไดที่ชั้น2-3,Olefins2,TTCL,Unsafe Condition,Scaffolding,"นั่งร้านมีสภาพไม่สมบูรณ์ ถูกรื้อแผ่นกระดานออก, ไม่มีบันไดที่ชั้น2-3","Scaffolding is incomplete. The planks were taken down, there were no stairs on the 2-3rd floor."
20,ผู้ปฏิบัติงานยืนทำงานนอกโครงสร้างนั่งร้าน และไม่มี Tag บอกสถานะของนั่งร้าน,Olefins2,TNE,Unsafe Action,Work at height,"ผู้ปฏิบัติงานยืนทำงานนอกโครงสร้างนั่งร้าน , ไม่มี tag บอกสถานะของนั่งร้าน","The worker stands outside the scaffolding structure, there is no tag indicating the status of the scaffolding."
21,"งานประกอบ, เชื่อม Platfrom ไม่ปิดล้อมผ้ากันไฟ",Olefins2,PSA,Unsafe Condition,Hot Work,"งานประกอบ , เชื่อม platfrom ไม่ปิดล้อมผ้ากันไฟ","Assembly work, welding platfrom, not enclosed in fireproof cloth"
22,งานเชื่อมปิดล้อมผ้ากันไฟไม่มิดชิด ทำให้มีสะเก็ดไฟหล่นมาตามช่องลงพื้น,Olefins2,PSA,Unsafe Condition,Hot Work,งานเชื่อมปิดล้อมผ้ากันไฟไม่มิดชิด ทำให้มีสะเก็ดไฟหล่นมาตามช่องลงพื้น,"Welding work to enclose the fireproof cloth, not completely causing a spark to fall through the hole on the ground"
23,สว่านแบตเตอรี่ยังไม่ได้ผ่านการตรวจสภาพ,Olefins2,TNE,Unsafe Condition,Work Procedure,สว่านแบตเตอรี่ยังไม่ได้ผ่านการตรวจสภาพ,The battery drill has not been inspected.
24,กองอุปกรณ์นั่งร้านวางสูงมากกว่า 2 เมตร,COLD,SIS,Unsafe Condition,Housekeeping,กองอุปกรณ์นั่งร้านวางสูงมากกว่า 2 เมตร,A pile of scaffolding equipment is placed more than 2 meters high.
25,Valve และอุปกรณ์วางทิ้งไว้ไม่ได้ใช้งาน/ ไม่นำออกจากพื้นที่ หลังจบงาน TA,UT,TTCL,Unsafe Condition,Housekeeping,"valve , อุปกรณ์วางทิ้งไว้ไม่ได้ใช้งาน, ไม่นำออกจากพื้นที่ หลังจบงาน ta","valve , the device is left unused, not removed from the area after the job ta"
26,Checklist generator ยังไม่ได้ Updated เป็นปีปัจจุบัน,HOT,ABB,Unsafe Condition,Electrical & Grounding,checklist generator ยังไม่ได้ updated เป็นปีปัจจุบัน,The checklist generator has not been updated to the current year.
27,Tag เขียว นั่งร้านมีการตรวจแล้ว แต่ลงวัน-เดือน-ปีผิด ,HOT,ABB,Unsafe Condition,Scaffolding,tag เขียว นั่งร้านมีการตรวจแล้ว แต่ลงวัน-เดือน-ปีผิด,green tag scaffolding has been inspected But the date-month-year is wrong.
28,วัสดุที่ไม่ได้ใช้งาน ไม่ได้จัดเก็บ กีดขวางพื้นที่ปฏิบัติงาน,HOT,ABB,Unsafe Condition,Housekeeping,วัสดุที่ไม่ได้ใช้งาน ไม่ได้จัดเก็บ กีดขวางพื้นที่ปฏิบัติงาน,inactive material not stored obstruct the work area
29,การปิดกั้น Barricade งานติดตั้งนั่งร้านยังไม่ครอบคลุม,HOT,KAEFER,Unsafe Condition,Scaffolding,การปิดกั้น barricade งานติดตั้งนั่งร้านยังไม่ครอบคลุม,"Blocking the barricade, scaffolding installation work is not yet covered."
30,Pack Argon ไม่ได้ใช้งาน กีดขวางพื้นที่การทำงาน ,HOT,CR Asia,Unsafe Condition,Housekeeping,pack argon ไม่ได้ใช้งาน กีดขวางพื้นที่การทำงาน,pack argon idle blocking the working area
31,เศษอุปกรณ์ทิ้งไว้บนนั่งร้าน,Olefins2,ATI-LT,Unsafe Condition,Housekeeping,เศษอุปกรณ์ทิ้งไว้บนนั่งร้าน,Scrap equipment left on scaffolding
32,นั่งร้านมีช่องเปิดมีเศษวัสดุตกค้างด้านบนนั่งร้านจำนวนมาก,Olefins2,TTCL,Unsafe Condition,Scaffolding,นั่งร้านมีช่องเปิดมีเศษวัสดุตกค้างด้านบนนั่งร้านจำนวนมาก,The scaffolding has an opening with a lot of material residue on top of the scaffolding.
33,"ช่างสีผู้หญิงขึ้นทำงานเดินบนท่อ
",Olefins2,TTCL,Unsafe Action,Work at height,"ช่างสีผู้หญิงขึ้นทำงานเดินบนท่อ,","A female painter works walking on a pipe,"
34,ทีมงาน Pipping TTCL ขึ้นทำงานบนที่สูงไม่คล่องเกี่ยว Harness,Olefins2,TTCL,Unsafe Action,Work at height,ทีมงาน pipping ttcl ขึ้นทำงานบนที่สูงไม่คล่องเกี่ยว harness,"Pipping ttcl team up to work at height, not fluent in harness"
35,งานรื้อนั่งร้าน แต่ไม่ล้อมพื้นที่,Olefins2,ATI-LT,Unsafe Condition,Scaffolding,งานรื้อนั่งร้าน แต่ไม่ล้อมพื้นที่,scaffolding work but not surrounding the area
36,รถเข็นสภาพล้อชำรุดยางแบน,Olefins2,CTL,Unsafe Condition,Others,รถเข็นสภาพล้อชำรุดยางแบน,"Stroller with damaged wheels, flat tires"
37,ผู้ปฏิบัติงานไม่สวมไส่ Ear Plug ปฎิบัติงาน Air Flushing บนอาคารComp,Olefins2,TTCL,Unsafe Action,PPE,ผู้ปฏิบัติงานไม่สวมไส่ ear plug ปฎิบัติงาน air flushing บนอาคารcomp,"Operators do not wear ear plugs, perform air flushing on comp buildings."
38,พนักงานรับเหมาเดินบนท่อที่หุ้มเรียบร้อยแล้ว เป็นรอยบุบ,Olefins2,TNE,Unsafe Action,Work Procedure,พนักงานรับเหมาเดินบนท่อที่หุ้มเรียบร้อยแล้ว เป็นรอยบุบ,The contractor walks on the pipe that is already covered with dents.
39,มีการนำบันไดนั่งร้านมาพาดใช้งานแบบผิดประเภท,Olefins2,TTCL,Unsafe Condition,Work at height,มีการนำบันไดนั่งร้านมาพาดใช้งานแบบผิดประเภท,The scaffolding ladder was used in the wrong type.
40,งานเจียรปูนแต่เครื่องเจียรไม่มี handle ไม่ล้อมพื้นทีกันละอองฝุ่นและไม่มี flogy สำหรับฉีดลดการฟุ้งกระจานของฝุ่น ,Olefins2,STATE,Unsafe Condition,Hot Work,"งานเจียรปูนแต่เครื่องเจียรไม่มี h, le ไม่ล้อมพื้นทีกันละอองฝุ่น, ไม่มี flogy สำหรับฉีดลดการฟุ้งกระจานของฝุ่น","Grinding of cement, but the grinder does not have h, le, does not surround the dustproof floor, does not have flogy for spraying to reduce dust dispersion."
41,งานตัดเชื่อมเจียรSupport pipe ปิดกั้นผ้ากันไฟไม่มิดชิดมีลูกไฟกระเด็นออก นอกผ้ากันไฟ,Olefins2,CAPK,Unsafe Condition,Hot Work,งานตัดเชื่อมเจียรsupport pipe ปิดกั้นผ้ากันไฟไม่มิดชิดมีลูกไฟกระเด็นออก นอกผ้ากันไฟ,"Cutting, welding, grinding, support pipe, blocking the fireproof cloth, not completely, there will be fireballs flying out of the fireproof cloth."
42,นั่งร้านมีลักษณะไม่แข็งแรงโยกไปมา,Olefins2,ATI-LT,Unsafe Condition,Scaffolding,นั่งร้านมีลักษณะไม่แข็งแรงโยกไปมา,"Scaffolding looks not strong, rocking back and forth."
43,รื้อนั่งร้านโดยไม่ล้อมพื้นที่,Olefins2,SR,Unsafe Condition,Scaffolding,รื้อนั่งร้านโดยไม่ล้อมพื้นที่,Dismantling scaffolding without enclosing the area
44,นั่งร้านไม่มี Tag,Olefins2,SR,Unsafe Condition,Scaffolding,นั่งร้านไม่มี tag,scaffolding without tag
45,Torque bolt บนเตา SC ความสูงประมาณ 27 เมตรได้ทำประแจเบอร์ 22 ร่วงหล่นลงมาค้างอยู่บนชั้นที่ความสูง 20 เมตร ,Olefins2,TTCL,Near Miss,Work at height,torque bolt บนเตา sc ความสูงประมาณ 27 เมตรได้ทำประแจเบอร์ 22 ร่วงหล่นลงมาค้างอยู่บนชั้นที่ความสูง 20 เมตร,"The torque bolt on the sc furnace, approximately 27 meters high, caused the 22-meter wrench to fall and remain on the shelf at a height of 20 meters."
46,ใช้ประแจขันน็อตหน้าแปลนไม่มีเชือกผูก,Olefins2,TTCL,Unsafe Action,Work at height,ใช้ประแจขันน็อตหน้าแปลนไม่มีเชือกผูก,Use a wrench to tighten the flange nut without a rope.
47,นั่งร้านมีช่องเปิด,Olefins2,TNE,Unsafe Condition,Scaffolding,นั่งร้านมีช่องเปิด,Scaffolding has openings.
48,นั่งร้านแบบเคลื่อนที่ มีลักษณะเบียดชนกับสายสัญญาณของทาง Plant,Olefins2,TTCL,Unsafe Condition,Scaffolding,"นั่งร้านแบบเคลื่อนที่ มีลักษณะเบียดชน, สายสัญญาณของทาง plant","Mobile Scaffolding has a bumpy nature, the signal cable of the plant"
49,สาย Load N2 ลวดสลิงไม่ได้พันกับเทป,Olefins2,TTCL,Unsafe Condition,Chemical Work,"สาย load n2 ลวดสลิงไม่ได้พัน, เทป","cable load n2 unwrapped wire rope, tape"
50,Materail ค้างอยู่บน Pipe Rack,Olefins2,TTCL,Unsafe Condition,Housekeeping,materail ค้างอยู่บน pipe rack,materail stuck on pipe rack
51,นั่งร้านมีสภาพไม่สมบูรณ์,Olefins2,TTCL,Unsafe Condition,Scaffolding,นั่งร้านมีสภาพไม่สมบูรณ์,Scaffolding is incomplete.
52,"ถอดหน้าแปลนท่อขนาด 10"" แต่ประแจไม่มีการผูก",Olefins2,TTCL,Unsafe Action,Work at height,"ถอดหน้าแปลนท่อขนาด 10"" แต่ประแจไม่มีการผูก","Remove the 10"" pipe flange, but the wrench is not tied."
53,ผ้ากันไฟมีลักษณะขาดเป็นรู,Olefins2,TTCL,Unsafe Condition,Hot Work,ผ้ากันไฟมีลักษณะขาดเป็นรู,The fire retardant cloth looks torn with holes.
54,ล้อมล้อมผ้ากันไฟไม่มิดชิด,Olefins2,CAPK,Unsafe Condition,Hot Work,ล้อมล้อมผ้ากันไฟไม่มิดชิด,"Surrounded by fireproof cloth, not completely"
55,สาย flex ตัวหนอนขาออกจาก blower มีลักษณะชำรุด,Olefins2,TTCL,Unsafe Condition,CSE,สาย flex ตัวหนอนขาออกจาก blower มีลักษณะชำรุด,The outgoing flex cable from the blower is defective.
56,ล้อมล้อมผ้ากันไฟไม่มิดชิด,Olefins2,PSA,Unsafe Condition,Hot Work,ล้อมล้อมผ้ากันไฟไม่มิดชิด,"Surrounded by fireproof cloth, not completely"
57,จัดวางเครื่องรีดแผ่นอลูมิเนียม ฐานไม่มั่นคง,HOT,KAEFER,Unsafe Condition,Electrical & Grounding,จัดวางเครื่องรีดแผ่นอลูมิเนียม ฐานไม่มั่นคง,Place the aluminum sheet rolling machine. The base is not stable.
58,สลิงผ้าใบสภาพขาดชำรุด,Olefins2,CAPK,Unsafe Condition,Lifting,สลิงผ้าใบสภาพขาดชำรุด,The canvas sling is in a torn condition.
59,สายไฟห้อยลงมาขวางทางเดิน,Olefins2,TTCL,Unsafe Condition,Housekeeping,สายไฟห้อยลงมาขวางทางเดิน,"The wires hung down, blocking the walkway."
60,สาย House สลิงไม่ได้มัดกับเทป,Olefins2,MASS,Unsafe Condition,Pressure test,"สาย house สลิงไม่ได้มัด, เทป","cable house sling is not tied, tape"
61,สีหกเลอะพื้น,Olefins2,TTCL,Unsafe Condition,Housekeeping,สีหกเลอะพื้น,Paint spilled on the floor
62,ช่องเปิดบริเวณใต้ TLE เสี่ยงต่อการตกจากที่สูง,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดบริเวณใต้ tle เสี่ยงต่อการตกจากที่สูง,The opening under the tle is at risk of falling from a height.
63,"งานรื้อ Insulation ไม่ได้ปิดล้อมผ้าใบ
",Olefins2,STATE,Unsafe Condition,Insulation,"งานรื้อ insulation ไม่ได้ปิดล้อมผ้าใบ,","The insulation work does not enclose the canvas,"
64,ช่างสีขึ้นปฏิบัติงานบนนั่งร้าน ไม่ได้มาตราฐาน,Olefins2,TTCL,Unsafe Condition,Scaffolding,ช่างสีขึ้นปฏิบัติงานบนนั่งร้าน ไม่ได้มาตราฐาน,Painter working on scaffolding not standard
65,"1.ผู้ปฏิบัติงานขึ้นเหยียบ line ท่อที่หุ้มInsulation
2.safety harness คล้องเกี่ยวกับline ท่อผลิต",Olefins2,TTCL,Unsafe Action,Work at height,"1.ผู้ปฏิบัติงานขึ้นเหยียบ line ท่อที่หุ้มinsulation, 2.safety harness คล้องเกี่ยว, line ท่อผลิต","1.The worker stepped on the line of the insulation pipe, 2.safety harness, the production line"
66,ไม่มีผ้ากันไฟ ปิดคุม insulation,Olefins2,TTCL,Unsafe Condition,Hot Work,ไม่มีผ้ากันไฟ ปิดคุม insulation,"No fireproof cloth, cover insulation"
67,ใช้บันไดนั่งร้านมาพาดทำงาน,Olefins2,TTCL,Unsafe Condition,Work at height,ใช้บันไดนั่งร้านมาพาดทำงาน,Use scaffolding ladders to prop work.
68,ผู้ปฏิบัติงานไม่สวมถุงมือ,Olefins2,TTCL,Unsafe Action,PPE,ผู้ปฏิบัติงานไม่สวมถุงมือ,Workers don't wear gloves.
69,อุปกรณ์ ยังไม่ผ่านการตรวจสภาพและไม่ติด Tag,Olefins2,TTCL,Unsafe Condition,Work Procedure,"อุปกรณ์ ยังไม่ผ่านการตรวจสภาพ, ไม่ติด tag","Equipment has not been inspected, not tagged"
70,ผู้หญิงขึ้นนั่งร้าน  เกิน  10  เมตร,Olefins2,TTCL,Unsafe Action,Work Procedure,ผู้หญิงขึ้นนั่งร้าน เกิน 10 เมตร,Women climb scaffolding more than 10 meters.
71,นำบันไดนั่งร้านพาด Handrail,Olefins2,TTCL,Unsafe Action,Work at height,"นำบันไดนั่งร้านพาด h, rail","Lead the scaffolding ladder h, rail."
72,นั่งร้านไม่พร้อมใช้งาน,Olefins2,TTCL,Unsafe Condition,Scaffolding,นั่งร้านไม่พร้อมใช้งาน,scaffolding not available
73,ใช้ลวดมัด Guardrail ให้เปิดตลอดเวลา,Olefins2,TTCL,Unsafe Condition,Work at height,ใช้ลวดมัด guardrail ให้เปิดตลอดเวลา,Keep the guardrail open at all times.
74,ขนย้ายถุง bigbag ด้วยรถ Forklift ไม่ได้ทำการกั้นพื้นที่,Olefins2,TNE,Unsafe Condition,Transportation,ขนย้ายถุง bigbag ด้วยรถ forklift ไม่ได้ทำการกั้นพื้นที่,Transporting bigbags with a forklift without blocking the space.
75,นำแผ่นนัางร้านมาพาดเป็นทางเดิน,Olefins2,TTCL,Unsafe Condition,Work at height,นำแผ่นนัางร้านมาพาดเป็นทางเดิน,Bring the slats of the shop across the walkway.
76,งานเชื่อมไม่มี Fire watch อยู่หน้างาน ,Olefins2,TTCL,Unsafe Action,Hot Work,งานเชื่อมไม่มี fire watch อยู่หน้างาน,Welding work. No fire watch in front of the event.
77,โครงสร้างนั่งร้านตั้งขวางทางเดิน,Olefins2,TTCL,Unsafe Condition,Scaffolding,โครงสร้างนั่งร้านตั้งขวางทางเดิน,Scaffolding structures stand across the walkway.
78,ผู้ปฏิบัติงาน ถอดน็อต ไม่ใส่ถุงมือ,Olefins2,TTCL,Unsafe Action,PPE,ผู้ปฏิบัติงาน ถอดน็อต ไม่ใส่ถุงมือ,"Worker removes bolts, does not wear gloves."
79,ปีนบันไดนั่งร้านขึ้นไปทาสี,Olefins2,TTCL,Unsafe Action,Work at height,ปีนบันไดนั่งร้านขึ้นไปทาสี,Climb up the scaffolding ladder to paint.
80,ใช้งานเครื่อง gen แต่ไม่มีผู้เฝ้าระวัง,Olefins2,TTCL,Unsafe Action,Electrical & Grounding,ใช้งานเครื่อง gen แต่ไม่มีผู้เฝ้าระวัง,"Running a gen machine, but no surveillance."
81,ใช้เชือก ผูกรัดกับ Stud Bolt เพื่อทำการขนย้ายขึ้นด้านบน แจ้งให้แก้ไข โดยการใช้ถุง,Olefins2,TTCL,Unsafe Action,Work at height,"ใช้เชือก ผูกรัด, stud bolt , ทำการขนย้ายขึ้นด้านบน แจ้งให้แก้ไข โดยการใช้ถุง","Use a rope to fasten, stud bolt , move it upward, prompt to fix it by using a bag."
82,มีงานบนที่สูง ไม่ล้อม Barricade,Olefins2,TTCL,Unsafe Condition,Work at height,มีงานบนที่สูง ไม่ล้อม barricade,"Work at heights, not surrounded by barricade"
83,พบสัตว์มีพิษ ใกล้งานหุ้ม Insulation,COLD,TNE,Unsafe Condition,Housekeeping,พบสัตว์มีพิษ ใกล้งานหุ้ม insulation,Poisonous animals found near insulation work
84,สายไฟพาดข้ามถนนไม่มีตัวครอบสายไฟ,Olefins2,TTCL,Unsafe Condition,Electrical & Grounding,สายไฟพาดข้ามถนนไม่มีตัวครอบสายไฟ,Power lines cross the road without wire covers.
85,ทำงานคนเดียว ไม่มี Buddy  คอยจับบันไดให้,Olefins2,TTCL,Unsafe Action,Work at height,ทำงานคนเดียว ไม่มี buddy คอยจับบันไดให้,"Working alone, no buddy to hold the stairs"
86,ไม่สวมใส่ถุงมือขณะหยิบจับชิ้นงาน,HOT,TTCL,Unsafe Action,PPE,ไม่สวมใส่ถุงมือขณะหยิบจับชิ้นงาน,Do not wear gloves when handling the workpiece.
87,กระเช้าที่นำมามาใช้งานไม่มีขอบยางกันกระแทก,HOT,RNC,Unsafe Condition,Lifting,กระเช้าที่นำมามาใช้งานไม่มีขอบยางกันกระแทก,The used baskets do not have rubber bumpers.
88,พบชายถุงไปเกี่ยวติดกับท่อนั่งร้านที่ทำเป็นคอกล้อมไว้เพื่อป้องกันการฟุ้งกระจาย,Olefins2,TNE,Unsafe Condition,Housekeeping,"พบชายถุงไปเกี่ยวติด, ท่อนั่งร้านที่ทำเป็นคอกล้อมไว้, ป้องกันการฟุ้งกระจาย","Found a sack attached to a sack, a scaffold that was made to surround it, preventing it from spreading."
89,นำ Insulation มาวางไว้กับพื้นแต่ไม่มีการจัดเก็บ,Olefins2,TTCL,Unsafe Condition,Housekeeping,"นำ insulation มาวางไว้, พื้นแต่ไม่มีการจัดเก็บ","Bring insulation to place, floor but no storage."
90, นำบันไดนั่งร้านมาพาดต่อใช้งาน,Olefins2,TTCL,Unsafe Condition,Work at height,นำบันไดนั่งร้านมาพาดต่อใช้งาน,Bring scaffolding ladders to be used.
91,ไม้พาเลทที่วางถุง Perlite ชำรุดเสียหาย,Olefins2,TNE,Unsafe Condition,Housekeeping,ไม้พาเลทที่วางถุง perlite ชำรุดเสียหาย,The wooden pallet on which the perlite bag is placed is damaged.
92,ขยะกองไว้ไม่ได้จัดเก็บจำนวนมาก,UT,TTCL,Unsafe Condition,Housekeeping,ขยะกองไว้ไม่ได้จัดเก็บจำนวนมาก,Garbage piles are not stored in large quantities.
93,ยืนปฏิบัติงานนอก Hard Barricade เสี่ยงต่อการตกจากที่สูง,HOT,RNC,Unsafe Action,Work at height,ยืนปฏิบัติงานนอก hard barricade เสี่ยงต่อการตกจากที่สูง,Standing outside a hard barricade is at risk of falling from a height.
94,สวมใส่หน้ากาป้องกันฝุ่นไม่เหมาะสมกับลักษณะหน้างาน,HOT,RNC,Unsafe Action,PPE,"สวมใส่หน้ากาป้องกันฝุ่นไม่เหมาะสม, ลักษณะหน้างาน","Wearing a dust mask is not appropriate, the nature of the job site."
95,พนักงานเข้าไปในพื้นที่ Barricade งานยกที่แขวนชิ้นงานไว้ด้านบน,HOT,RNC,Unsafe Action,Lifting,พนักงานเข้าไปในพื้นที่ barricade งานยกที่แขวนชิ้นงานไว้ด้านบน,"Employees enter the barricade area, lifting work that hangs the workpiece on top."
96,บันไดนั่งร้านไม่มีจุดยึดขาด้านล่าง,Olefins2,SR,Unsafe Condition,Scaffolding,บันไดนั่งร้านไม่มีจุดยึดขาด้านล่าง,Scaffolding ladders do not have the bottom leg anchors.
97,ขณะที่ผู้ปฏิบัติงาน แกะถุง Bigbag มีฝุ่นฟุ้งกระจาย จำนวนมาก,Olefins2,TNE,Unsafe Condition,Housekeeping,ขณะที่ผู้ปฏิบัติงาน แกะถุง bigbag มีฝุ่นฟุ้งกระจาย จำนวนมาก,"As the operator unpacked the big bag, a large amount of dust spread."
98,ใช้หินเจียรไม่มี Handle,Olefins2,CAPK,Unsafe Action,Hot Work,"ใช้หินเจียรไม่มี h, le","use grinding stone, no h, le"
99,ล้อมผ้ากันไฟไม่มิดชิด,Olefins2,CAPK,Unsafe Condition,Hot Work,ล้อมผ้ากันไฟไม่มิดชิด,Surrounded by fireproof cloth
100,พบงาน Load N2 ข้อต่อสาย Hose ไม่มีสลักล็อค,Olefins2,EMAS,Unsafe Condition,Chemical Work,พบงาน load n2 ข้อต่อสาย hose ไม่มีสลักล็อค,Found work load n2 cable coupling hose no locking latch
101,มีการเหยียบท่อหุ้ม Insulation ขณะปฏิบัติงานรื้อนั่งร้าน,Olefins2,SR,Unsafe Action,Work Procedure,มีการเหยียบท่อหุ้ม insulation ขณะปฏิบัติงานรื้อนั่งร้าน,The insulation cover pipe is stepped on while performing the scaffolding demolition work.
102,พบมีงานตัด เจียร ล้อมผ้ากันไฟไม่ครบทุกด้าน และไม่มีถังดับเพลิง ,Olefins2,PSA,Unsafe Condition,Hot Work,"พบมีงานตัด เจียร ล้อมผ้ากันไฟไม่ครบทุกด้าน , ไม่มีถังดับเพลิง","Found that there is no cutting, grinding work, surrounded by fireproof cloth on all sides, no fire extinguishers."
103,"งานหุ้มInsulation
1.จุดผสมน้ำยาไม่มีถาดรอง
2.ไม่มีรายละเอียดของน้ำยาหรือSDSระบุในการนำมาใช้งาน",Olefins2,TNE,Unsafe Condition,Insulation,"งานหุ้มinsulation, 1.จุดผสมน้ำยาไม่มีถาดรอง, 2.ไม่มีรายละเอียดของน้ำยาหรือsdsระบุในการนำมาใช้งาน","Insulation cladding, 1. Mixing point without tray, 2. No details of reagent or SDS specified for use."
104,ใช้งานตู้จ่ายไฟโดยไม่ได้ตรวจสอบ Daily Checklist,HOT,ABB,Unsafe Action,Electrical & Grounding,ใช้งานตู้จ่ายไฟโดยไม่ได้ตรวจสอบ daily checklist,Operate the power supply without checking the daily checklist.
