ID,TagName,Description,Area
5343,XSP651A-ST,P751A       AUTO  START,OCU
5344,XSP651B-ST,P751B       AUTO  START,OCU
5345,FZCL7700,FV7700      VALVE CLOSE,OCU
5346,FZOL7701,FV7701      VALVE CLOSE,OCU
5347,FZCL7800,FV7800      VALVE CLOSE,OCU
5348,HS7700B,HV7700 CLOSEFROM LOCAL,OCU
5349,HS7801B,HV7801 CLOSEFROM FIELD,OCU
5350,HZCL7700,HV7700      VALVE CLOSE,OCU
5351,HZCL7801,HV7801      VALVE CLOSE,OCU
5352,XAF3DCS-001,F3-DCS-001  CABINET ALRM,OCU
5353,XAF3DCS-002,F3-DCS-002  CABINET ALRM,OCU
5354,XAF3DCS-003,F3-DCS-003  CABINET ALRM,OCU
5355,XAF3DCS-004,F3-DCS-004  CABINET ALRM,OCU
5356,XAF3ESD-001,F3-ESD-001  CABINET ALRM,OCU
5357,XAF3ESD-002,F3-ESD-002  CABINET ALRM,OCU
5358,XAF3ESD-003,F3-ESD-003  CABINET ALRM,OCU
5359,XAF3ESD-004,F3-ESD-004  CABINET ALRM,OCU
5360,XAF3ESD-005,F3-ESD-005  CABINET ALRM,OCU
5361,XAF3FGS-001,F3-FGS-001  CABINET ALRM,OCU
5362,XAF3MRD-001,F3-MRD-001  CABINET ALRM,OCU
5363,XAF3MRD-002,F3-MRD-002  CABINET ALRM,OCU
5364,XAF3MRD-003,F3-MRD-003  CABINET ALRM,OCU
5365,XAF3MRD-004,F3-MRD-004  CABINET ALRM,OCU
5366,XAF3MRD-005,F3-MRD-005  CABINET ALRM,OCU
5367,XAF3ANA-001,F3-ANA-001  CABINET ALRM,OCU
5368,XAF3MRE-001,F3-MRE-001  CABINET ALRM,OCU
5369,XAF3MRE-002,F3-MRE-002  CABINET ALRM,OCU
5370,XAF3MRE-003,F3-MRE-003  CABINET ALRM,OCU
5371,XAF3MRE-004,F3-MRE-004  CABINET ALRM,OCU
5372,XAF3MRE-005,F3-MRE-005  CABINET ALRM,OCU
5373,XAF3MRF-001,F3-MRF-001  CABINET ALRM,OCU
5374,XAF3IRD-001,F3-IRD-001  CABINET ALRM,OCU
5375,XAF3IRE-001,F3-IRE-001  CABINET ALRM,OCU
5376,XAF3NW-001,F3-NW-001   CABINET ALRM,OCU
5377,XAF3PDB-001,F3-PDB-001  CABINET ALRM,OCU
5378,XAF3PDB-002,F3-PDB-002  CABINET ALRM,OCU
5379,XAF3PDB-011,F3-PDB-011  CABINET ALRM,OCU
5380,XAF3PDB-012,F3-PDB-012  CABINET ALRM,OCU
5381,XAF3PDB-021,F3-PDB-021  CABINET ALRM,OCU
5382,FQI2090,HP STEAM    FROM CTU,ARU
5383,FQI2092,MS1 STEAM   FROM CTU,ARU
5384,FQI2093,MC1 COND.   TO CTU,CTU_TFU
5385,FQI2094,MC2 FLOW    TO CTU,ARU
5386,FQI2095,LC1 COND.   TO CTU,CTU_TFU
5387,FQI2096,LS1 STEAM   FROM OCU,ARU
5388,FQI2097,LC1 COND.   FROM OCU,ARU
5389,FQI2098,MS2 STEAM   TO OCU,ARU
5390,FQI2180,PTW WATER   FROM CTU,ARU
5391,FQI2181,TW WATER    FROM CTU,ARU
5392,FQI2182,PTW FLOW    TO OCU,ARU
5393,FQI2183,TW FLOW     TO OCU,ARU
5394,TI2092,MS1 TEMP    FROM CTU,ARU
5395,FQI2890,MN N2       FROM CTU,CTU_TFU
5396,FQI2892,LN FLOW     FROM CTU,ARU
5397,FQI2893,MN FLOW     TO OCU,CTU_TFU
5398,FQI2894,LN FLOW     TO OCU,ARU
5399,FQI2895,IA INST.    FROM CTU,ARU
5400,FQI2896,PA PLANT    FROM CTU,ARU
5401,FQI2897,IA FLOW     TO OCU,ARU
5402,FQI2898,PA FLOW     TO OCU,ARU
5403,FI8007,RECYCLE FLOWBYPASS E-802,ARU
5404,FI8012,VENT GAS    D802 TO D835,ARU
5405,FI8014,OFF SPEC    FROM T-810,ARU
5406,FI8111,D-810 VENT  TO D-302,ARU
5407,PI2891,LLN HEADER  PRESSURE,ARU
5408,PDI8003,F-800AB Z800DIFF PRESS,ARU
5409,PDI8006,R-800 2ND   DIFF PRESS,ARU
5410,PDI8007,R-800 1ND   DIFF PRESS,ARU
5411,LI2092,D-964       COND LEVEL,CTU_TFU
5412,LI8108,T-810 DRAW  OF LIQUID LE,ARU
5413,LI8160,P-810A SEAL POT LEVEL,ARU
5414,LI8161,P-811A SEAL POT LEVEL,ARU
5415,LI8165,P-811B SEAL POT LEVEL,ARU
5416,LI8105,D-810 BOOT  LEG LEVEL,ARU
5417,LI8164,P-810B SEAL POT LEVEL,ARU
5418,LI8204,D-820 DED.  REF. DRUM,ARU
5419,LIP820A01,P-820A DEP. REFLUX PUMPS,ARU
5420,LIP820A02,P-820A DEP. REFLUX PUMPS,ARU
5421,LI9001,D-962 LIQUIDLEVEL,ARU
5422,LIP820B04,P-820B DEP. REFLUX PUMPS,ARU
5423,LIP821A03,P-821A      OVERHEAD,ARU
5424,LIP821A04,P-821A      OVERHEAD,ARU
5425,LIP821A02,P-821A      OVERHEAD,ARU
5426,LIP821B01,P-821B DED. OVERHEAD PRO,ARU
5427,LIP820A03,P-820A DEP. REFLUX PUMPS,ARU
5428,LIP820A04,P-820A DEP. REFLUX PUMPS,ARU
5429,LIP820B03,P-820B DEP. REFLUX PUMPS,ARU
5430,LIP820B01,P-820B DEP. REFLUX PUMPS,ARU
5431,LIP820B02,P-820B DEP. REFLUX PUMPS,ARU
5432,LIP821A01,P-821A DED. OVERHEAD PRO,ARU
5433,LIP821B02,P-821B DED. OVERHEAD PRO,ARU
5434,LIP821B03,P-821B DED. OVERHEAD PRO,ARU
5435,LIP821B04,P-821B DED. OVERHEAD PRO,ARU
5436,LIP826B01,P-826B DEP. BOTTOM PUMPS,ARU
5437,LIP826B02,P-826B DEP. BOTTOM PUMPS,ARU
5438,LIP826B03,P-826B DEP. BOTTOM PUMPS,ARU
5439,LIP826A01,P-826A DEP. BOTTOM PUMPS,ARU
5440,LIP826A02,P-826A DEP. BOTTOM PUMPS,ARU
5441,LIP826A03,P-826A DEP. BOTTOM PUMPS,ARU
5442,LIP826A04,P-826A DEP. BOTTOM PUMPS,ARU
5443,LIP826B04,P-826B DEP. BOTTOM PUMPS,ARU
5444,PIP826A01,P-826A DEP. BOTTOM PUMPS,ARU
5445,PIP826A02,P-826A DEP. BOTTOM PUMPS,ARU
5446,PIP826B01,P-826B DEP. BOTTOM PUMPS,ARU
5447,PIP826B02,P-826B DEP. BOTTOM PUMPS,ARU
5448,PIP826B03,P-826B DEP. BOTTOM PUMPS,ARU
5449,PIP826B04,P-826B DEP. BOTTOM PUMPS,ARU
5450,PIP826A03,P-826A DEP. BOTTOM PUMPS,ARU
5451,PIP826A04,P-826A DEP. BOTTOM PUMPS,ARU
5452,PI8066,P-801A      RECYCLE PUMP,ARU
5453,PI8067,P-801B      RECYCLE PUMP,ARU
5454,PI8064,P-800A SEAL POT PRESSURE,ARU
5455,PI2091,D-964       OUTLET PRESS,ARU
5456,PI8014,D-801 OVHD  PRESSURE,ARU
5457,PI8020,AIR         RESERVOIR,ARU
5458,PI8062,P-801A      RECYCLE PUMP,ARU
5459,PI8063,P-801B      RECYCLE PUMP,ARU
5460,PI8065,P-800B SEAL POT PRESSURE,ARU
5461,PI8112,D-810       OVHD PRESS,ARU
5462,PI8160,P-810A SEAL POT PRESS,ARU
5463,PI8161,P-811A SEAL POT PRESS,ARU
5464,PI8008,R-800       OUTLET PRESS,ARU
5465,PI8009,R-800 INLET PRESSURE,ARU
5466,PI8021,AIR         RESERVOIR,ARU
5467,PI8060,P-800A SEAL POT PRESSURE,ARU
5468,PI8061,P-800B SEAL POT PRESSURE,ARU
5469,PI8102,MS2 TO      E-815 PRESS,ARU
5470,PI8162,P-816A SEAL POT PRESS,ARU
5471,PI8163,P-816B SEAL POT PRESS,ARU
5472,PI8167,P-816B SEAL POT PRESS,ARU
5473,PI8164,P-810B SEAL POT PRESS,ARU
5474,PI8165,P-811B SEAL POT PRESS,ARU
5475,PI8166,P-816A SEAL POT PRESS,ARU
5476,PI8203,E-825,ARU
5477,PI8212,D-820 DED.  REFLUX DRUM,ARU
5478,PI9000,D-962       OUTLET PRESS,ARU
5479,PIP820A01,P-820A DEP. REFLUX PUMPS,ARU
5480,PIP820A02,P-820A DEP. REFLUX PUMPS,ARU
5481,PIP820B01,P-820B DEP. REFLUX PUMPS,ARU
5482,PIP820B02,P-820B DEP. REFLUX PUMPS,ARU
5483,PIP821A01,P-821A DED. OVERHEAD PRO,ARU
5484,PIP821A02,P-821A DED. OVERHEAD PRO,ARU
5485,PIP821A03,P-821A DED. OVERHEAD PRO,ARU
5486,PIP821A04,P-821A DED. OVERHEAD PRO,ARU
5487,PIP820A03,P-820A DEP. REFLUX PUMPS,ARU
5488,PIP820A04,P-820A DEP. REFLUX PUMPS,ARU
5489,PIP820B03,P-820B DEP. REFLUX PUMPS,ARU
5490,PIP820B04,P-820B DEP. REFLUX PUMPS,ARU
5491,PIP821B01,P-821B DED. OVERHEAD PRO,ARU
5492,PIP821B02,P-821B DED. OVERHEAD PRO,ARU
5493,PIP821B03,P-821B DED. OVERHEAD PRO,ARU
5494,PIP821B04,P-821B DED. OVERHEAD PRO,ARU
5495,TI8035,E-801       INLET TEMP,ARU
5496,TI2090,HP STEAM    FROM CTU,ARU
5497,TI8036,E-801       OUTLET TEMP,ARU
5498,TI2096,LS1 TEMP    FROM OCU,ARU
5499,TI2097,LC1 FROM    OCU TEMP,ARU
5500,TI2098,MS2 TO      OCU TEMP,ARU
5501,TI2093,MC2 TEMP    TO CTU,ARU
5502,TI2094,MS2 FROM    CTU TEMP,ARU
5503,TI2095,LC1 TO      CTU  TEMP,ARU
5504,TI8101,T-810       TRAY 12 TEMP,ARU
5505,TI8040,E-800 SHELL OUTLET TEMP,ARU
5506,TI8209,TO UPPER    E-820,ARU
5507,TI8210,D-820 FROM  E-820,ARU
5508,TI8102,T-810       FEED TEMP,ARU
5509,TI8105,E-815       INLET TEMP,ARU
5510,TI8106,E-815       OUTLET TEMP,ARU
5511,TI8107,E-811       INLET TEMP,ARU
5512,TI8200,T-820 FROM  G6+ FEED,ARU
5513,TI8201,T-820 DED.  TOWER,ARU
5514,TI8202,T-820 DED.  TOWER,ARU
5515,TI8041,RECYCLE     FEED TEMP,ARU
5516,TI8100,T-810       TRAY 2 TEMP,ARU
5517,TI8042,D-801       INLET TEMP,ARU
5518,TI8206,BETWEEN     T-820&E-825,ARU
5519,TI8104,T-810       TRAY 64 TEMP,ARU
5520,TI8108,P-811AB     DISCH TEMP,ARU
5521,TI8110,E-810       OUTLET TEMP,ARU
5522,TI8111,E-810       INLET TEMP,ARU
5523,TI8204,T-820 DED.  TOWER,ARU
5524,TI8207,BETWEEN     T-820&E-825,ARU
5525,LIC8002,D-800 LEVEL CONTROL,ARU
5526,FIC8002,P-800AB     MINFLOW,ARU
5527,FIC8008,P-801AB     MINFLOW,ARU
5528,FIC8102,P-816AB     MINFLOW,ARU
5529,FIC8103,MS2 TO      E-815 FLOW,ARU
5530,FIC8104,P-811AB     MINFLOW,ARU
5531,FIC8108,P810AB MIN  FLOW CTR,ARU
5532,FIC8200,C10+ CUT TO QUENCH TOWER,ARU
5533,FIC8203,TO T-820,ARU
5534,FIC8204,TO T-820,ARU
5535,FIC8205,P821A/B     OUTLET,ARU
5536,LIC2091,D-964 COND. LEVEL CTR,CTU_TFU
5537,LIC8100,D-815       LEVEL CTR,ARU
5538,LIC8000,D800 BOOTLEGLEVEL CTR,ARU
5539,LIC8200,D-825 CON.  FOR E-825,ARU
5540,LIC9000,D-962 LIQUIDLEVEL CTR,ARU
5541,PIC8013,D-802 OVHD  PRESS CTR,ARU
5542,FIC8005,R-800       RECYCLE FLOW,ARU
5543,TIC8208,C6-C9 CUT TO E-830A/B,ARU
5544,LIC8008,D-802 LIQUIDLEVEL CTR,ARU
5545,FIC8010,D-802       BTM FLOW,ARU
5546,LIC8201,T-820 DEDEC TOWER,ARU
5547,FIC8201,C10+ CUT TO QUENCH TOWER,ARU
5548,TIC8203,T-820 DED.  TOWER,ARU
5549,FIC8202,SD.LINE OF  E-825,ARU
5550,PIC8000,D-800 OVHD  PRESS CTR,ARU
5551,PV8000A,D-800 H2    MAKE UP VALV,ARU
5552,PV8000B,D-800       VENT VALVE,ARU
5553,HIC8101,D-810 VENT  TO FLARE,ARU
5554,TI8044,H2 FROM     ORU TEMP,ARU
5555,PI8001,H2 FROM     ORU PRESSURE,ARU
5556,FI8004A-Y,H2 FLOW     TO R-800,ARU
5557,FI8004B-Y,H2 FLOW     TO R-800,ARU
5558,FI8004C-Y,H2 FLOW     TO R-800,ARU
5559,FI8004,H2 MAKE-UP  FROM ORU,ARU
5560,FIC8003,P-800AB     DISCH FLOW,ARU
5561,FFC8004,H2 MAKE-UP  FROM ORU,ARU
5562,FIC8004,R-800 H2    FLOW CTR,ARU
5563,PV8101,D-810 VENT  TO D-302,ARU
5564,TT8017A,R-800 OUTLET TEMP.,ARU
5565,TT8017B,R-800 OUTLET TEMP.,ARU
5566,TT8017C,R-800 OUTLET TEMP.,ARU
5567,TI8017,R-800 OUTLET TEMP.,ARU
5568,TI8039,E-800       INLET TEMP,ARU
5569,TIC8032A,R-800 INLET TEMP. CTR,ARU
5570,TIC8032B,R-800 INLET TEMP. CTR,ARU
5571,TDI8047,R-800       DIFF TEMP,ARU
5572,PDI8103,T-810 UPPER DIFF PRESS.,ARU
5573,TDIC8046,E-800 DIFF  TEMPERATURE,ARU
5574,TV8032A,E-802       OUTLET VALVE,ARU
5575,TV8032B,E-802       BYPASS VALVE,ARU
5576,TV8046A,E-800 SHELL OUTLET VALVE,ARU
5577,TV8046B,E-800 PYPASSVALVE,ARU
5578,FI8107A-Y,P-810AB     DISCH FLOW,ARU
5579,FI8107B-Y,P-810AB     DISCH FLOW,ARU
5580,FI8107C-Y,P-810AB     DISCH FLOW,ARU
5581,LIC8109A,D-810       LIQUID LEVEL,ARU
5582,LIC8109B,D-810       LIQUID LEVEL,ARU
5583,FIC8107,T-810       REFLUX FLOW,ARU
5584,TIC8103,T-810 TRAY  36 TEMP CTR,ARU
5585,FIC8105,T-810       C5 OUTLET,ARU
5586,FV8105,T-810       C5 OUTLET,ARU
5587,LIC8101,T-810 LIQUIDLEVEL CTR,ARU
5588,LV8101,OFF SPEC    FROM T-810,ARU
5589,PDI8104,T-810 LOWER DIFF PRESS.,ARU
5590,FIC8109,P-816AB     DISCH FLOW,ARU
5591,FIC8100,T-810 BOTTOMTO T-820,ARU
5592,PIC8101,T-810 OVHD  PRESS CTR,ARU
5593,PI8100,T-810       PRESS CTR,ARU
5594,PDI8105,T-810 DIFF  PRESS.,ARU
5595,PT8109A,T-810 LOWER PRESS.,ARU
5596,PT8109B,T-810 LOWER PRESS.,ARU
5597,PT8109C,T-810 LOWER PRESS.,ARU
5598,PI8109,T-810 LOWER PRESS.,ARU
5599,PDI8201,T-820 UPPER DIFF PRESS.,ARU
5600,PDI8204,T-820 LOWER DIFF PRESS.,ARU
5601,PIC8202,T-820 UPPER  PRESS.,ARU
5602,PI8201,T-820 MIDDLE PRESS.,ARU
5603,PDI8205,T-820 DIFF  PRESS.,ARU
5604,PT8200A,T-820 LOWER PRESS.,ARU
5605,PT8200B,T-820 LOWER PRESS.,ARU
5606,PT8200C,T-820 LOWER PRESS.,ARU
5607,PI8200,T-820 LOWER PRESS.,ARU
5608,TI8007,AVERAGE TEMP. FOR TREND,ARU
5609,TI8006,AVERAGE TEMP. FOR TREND,ARU
5610,LI8005A-Y,D-801 LIQUIDLEVEL CTR,ARU
5611,LI8005B-Y,D-801 LIQUIDLEVEL CTR,ARU
5612,LI8005C-Y,D-801 LIQUIDLEVEL CTR,ARU
5613,LIC8005,D-801 LIQUIDLEVEL CTR,ARU
5614,FIC8009,D-801       BTM FLOW,ARU
5615,TI8004A-Y,R800 2ND BEDTEMP CONTROL,ARU
5616,TI8004B-Y,R800 2ND BEDTEMP CONTROL,ARU
5617,TI8004C-Y,R800 2ND BEDTEMP CONTROL,ARU
5618,TIC8004,R-800 2ND   BED TEMP,ARU
5619,FIC8006,R-800       QUENCH FLOW,ARU
5620,FI8011A-Y,P-801AB     DISCH FLOW,ARU
5621,FI8011B-Y,P-801AB     DISCH FLOW,ARU
5622,FI8011C-Y,P-801AB     DISCH FLOW,ARU
5623,FI8011,R-800       RECYCLE FLOW,ARU
5624,TI8033A,E-802       OUTLET TEMP,ARU
5625,TI8034A,E-802       INLET TEMP,ARU
5626,TI8037B,E-808       OUTLET TEMP,ARU
5627,FIC8001,RAW PYGAS   TO F-800AB,ARU
5628,PIC8002,RAW PYGAS PRESS FROM ORU,ARU
5629,FIC8000,RAW PYGAS   TO TK-1510,ARU
5630,HSP801A,P-801A GHU-1RECYCLE PUMP,ARU
5631,HSP801B,P-801B GHU-1RECYCLE PUMP,ARU
5632,LI8001,D-800 LEVEL,ARU
5633,TI8005,AVERAGE TEMP. FOR TREND,ARU
5634,TI8024,AVERAGE TEMP. FOR TREND,ARU
5635,TI8023,AVERAGE TEMP. FOR TREND,ARU
5636,TI8022,AVERAGE TEMP. FOR TREND,ARU
5637,TI8004,AVERAGE TEMP. FOR TREND,ARU
5638,TI8003,AVERAGE TEMP. FOR TREND,ARU
5639,TI8002,AVERAGE TEMP. FOR TREND,ARU
5640,TI8001,AVERAGE TEMP. FOR TREND,ARU
5641,TI8000,AVERAGE TEMP. FOR TREND,ARU
5642,TI8021,AVERAGE TEMP. FOR TREND,ARU
5643,TI8020,AVERAGE TEMP. FOR TREND,ARU
5644,TI8019,AVERAGE TEMP. FOR TREND,ARU
5645,TI8018,AVERAGE TEMP. FOR TREND,ARU
5646,AT9000,ARU HP FLARE O2 CONTENT,ARU
5647,LIF8000,D-810 LEVEL TOTAL,ARU
5648,LIF8105,D-810 LEVEL TOTAL,ARU
5649,ZIFV8000,FV8000 VALVE FEEDBACK,ARU
5650,ZIFV8001,FV8001 VALVE FEEDBACK,ARU
5651,ZIFV8002,FV8002 VALVE FEEDBACK,ARU
5652,ZIFV8003,FV8003 VALVE FEEDBACK,ARU
5653,ZIFV8004,FV8004 VALVE FEEDBACK,ARU
5654,ZIFV8005,FV8005 VALVE FEEDBACK,ARU
5655,ZIFV8006,FV8006 VALVE FEEDBACK,ARU
5656,ZIFV8008,FV8008 VALVE FEEDBACK,ARU
5657,ZIFV8009,FV8009 VALVE FEEDBACK,ARU
5658,ZIFV8010,FV8010 VALVE FEEDBACK,ARU
5659,ZILV2091,LV2091 VALVE FEEDBACK,ARU
5660,ZILV8000,LV8000 VALVE FEEDBACK,ARU
5661,ZILV9000,LV9000 VALVE FEEDBACK,ARU
5662,ZIPV8000A,PV8000AVALVE FEEDBACK,ARU
5663,ZIPV8000B,PV8000BVALVE FEEDBACK,ARU
5664,ZIPV8013,PV8013 VALVE FEEDBACK,ARU
5665,ZITV8032A,TV8032AVALVE FEEDBACK,ARU
5666,ZITV8032B,TV8032BVALVE FEEDBACK,ARU
5667,ZITV8046A,TV8046AVALVE FEEDBACK,ARU
5668,ZITV8046B,TV8046BVALVE FEEDBACK,ARU
5669,ZIFV8100,FV8100 VALVE FEEDBACK,ARU
5670,ZIFV8102,FV8102 VALVE FEEDBACK,ARU
5671,ZIFV8103,FV8103 VALVE FEEDBACK,ARU
5672,ZIFV8104,FV8104 VALVE FEEDBACK,ARU
5673,ZIFV8105,FV8105 VALVE FEEDBACK,ARU
5674,ZIFV8107,FV8107 VALVE FEEDBACK,ARU
5675,ZIFV8108,FV8108 VALVE FEEDBACK,ARU
5676,ZIFV8109,FV8109 VALVE FEEDBACK,ARU
5677,ZIHV8101,HV8101 VALVE FEEDBACK,ARU
5678,ZILV8100,LV8100 VALVE FEEDBACK,ARU
5679,ZILV8101,LV8101 VALVE FEEDBACK,ARU
5680,ZIPV8101,PV8101 VALVE FEEDBACK,ARU
5681,ZIFV8200,FV8200 VALVE FEEDBACK,ARU
5682,ZIFV8201,FV8201 VALVE FEEDBACK,ARU
5683,ZIFV8202,FV8202 VALVE FEEDBACK,ARU
5684,ZIFV8203,FV8203 VALVE FEEDBACK,ARU
5685,ZIFV8204,FV8204 VALVE FEEDBACK,ARU
5686,ZIFV8205,FV8205 VALVE FEEDBACK,ARU
5687,ZILV8200,LV8200 VALVE FEEDBACK,ARU
5688,ZIPV8202,PV8202 VALVE FEEDBACK,ARU
5689,ZITV8208,TV8208 VALVE FEEDBACK,ARU
5690,LIC8101-ML,,ARU
5691,HSP816A,P-816A DEP. BOTTOM PUMPS,ARU
5692,HSP816B,P-816B DEP. BOTTOM PUMPS,ARU
5693,FI2092,MS1 STEAM   FROM CTU,ARU
5694,WABTBED1,WABT 1ST BED GHU-I,ARU
5695,WABTTOTAL,WABT TOTAL  GHU-I,ARU
5696,PI8008B,R-800B      OUTLET PRESS,ARU
5697,PI8009B,R-800B INLET PRESSURE,ARU
5698,PDI8006B,R-800B 2ND   DIFF PRESS,ARU
5699,PDI8007B,R-800B 1ND   DIFF PRESS,ARU
5700,TI8004BA-Y,R800 2ND BEDTEMP CONTROL,ARU
5701,TI8004BB-Y,R800 2ND BEDTEMP CONTROL,ARU
5702,TI8004BC-Y,R800 2ND BEDTEMP CONTROL,ARU
5703,TI8007BBY,AVERAGE TEMP. FOR TREND,ARU
5704,TI8006BBY,AVERAGE TEMP. FOR TREND,ARU
5705,TI8005BBY,AVERAGE TEMP. FOR TREND,ARU
5706,TI8024BBY,AVERAGE TEMP. FOR TREND,ARU
5707,TI8023BBY,AVERAGE TEMP. FOR TREND,ARU
5708,TI8022BBY,AVERAGE TEMP. FOR TREND,ARU
5709,TI8004BBY,AVERAGE TEMP. FOR TREND,ARU
5710,TI8003BBY,AVERAGE TEMP. FOR TREND,ARU
5711,TI8002BBY,AVERAGE TEMP. FOR TREND,ARU
5712,TI8001BBY,AVERAGE TEMP. FOR TREND,ARU
5713,TI8000BBY,AVERAGE TEMP. FOR TREND,ARU
5714,TI8021BBY,AVERAGE TEMP. FOR TREND,ARU
5715,TI8020BBY,AVERAGE TEMP. FOR TREND,ARU
5716,TI8019BBY,AVERAGE TEMP. FOR TREND,ARU
5717,TI8018BBY,AVERAGE TEMP. FOR TREND,ARU
5718,WABTBED1B,WABT 1ST BED GHU-I,ARU
5719,WABTTOTALB,WABT TOTAL  GHU-I,ARU
5720,TI8017BBY,AVERAGE TEMP. FOR TREND,ARU
5721,TT8017BA,R-800B OUTLET TEMP.,ARU
5722,TT8017BB,R-800B OUTLET TEMP.,ARU
5723,TT8017BC,R-800B OUTLET TEMP.,ARU
5724,TI8017B,R-800B OUTLET TEMP.,ARU
5725,PIC8001,H2 FROM ORU PRESSURE,ARU
5726,FIC8015,H2 FROM ROC FLOW CONTROL,ARU
5727,FT8015,H2 FROM ROC FLOW CONTROL,ARU
5728,ZIPV8001,PV8001 VALVE FEEDBACK,ARU
5729,ZIFV8015,FV8015 VALVE FEEDBACK,ARU
5730,TDIC8047,R-800       DIFF TEMP,ARU
5731,XV8000,RAW PYGAS   TO F-800AB,ARU
5732,XV8001,RAW PYGAS   FROM P-800AB,ARU
5733,XV8002,H2 FROM     ORU TO R-800,ARU
5734,XV8003,H2 FROM     ORU TO R-800,ARU
5735,XV8004,D-801       BTM TO T-810,ARU
5736,XV8005,D-802 BOTTOMTO T-810,ARU
5737,XV8007,RAW PYGAS   TO TK-1510,ARU
5738,XV8100,MS2 STEAM   TO E-815,ARU
5739,XV8101,MS2 STEAM   TO E-815,ARU
5740,XV8200,HS TO E-825,ARU
5741,XV8201,HS TO E-825,ARU
5742,HS8000A,RAW PYGAS   TO P-800,ARU
